 p15052coll1,1
adkhistory,74
afl,2
aiha,68
als,12
bard,682
bc,2
bpl,501
bpl_fsc,34
BSM001,1407
BUF005,168
BUF006,145
cazcoll01,7
cchs,73
cdlc,5
cgc,4
cgcmh,63
chs,1196
cia,604
cies,459
clarkson,19250
cornpl,405
cphpl,1688
cpl,53
crandall,261
dcc,156
dewitt01,14
dudleyo,37
elting,545
eplm,884
fayfre01,254
fdr,409
fhk,760
fmcc,115
fpfl,92
gcla,828
gpl,2912
gplhs,363
grn,8
Grolier01,341
gwpl,2
haal,239
hhs,1937
holytrin01,4
hrh,434
hrmm,716
hrvi,415
hsrc,3069
hsw,72
hvcc,94
hvvacc,78
id,1
ipl,465
jcclibrary,1383
JSY,1606
keenev,165
larc,4606
lc,43
libertyhs,2929
livpub01,14582
locustgrove,167
maria,370
marlboro,161
mbl,153
MC_metro,24
mdpl,36
mfl,2
miner,9
mlw,223
mrhs,449
mv!norbn!newburgh!nhc!nptr!nrpl!nyacklib!occc!orangetown!pipc!phs!pchs!pchc!rhs!rvha!spl!scpl!senatehouse!shs!ssphv!srl!sunynp!tvm!twvmhs!tps!tpl!uccc!uchs!vbmc!vassar!wilderstein!nwkpld,2
mv,47
newburgh,3702
nfl,5
ngrl,771
nhc,896
nnyg,22
nor,37
norbn,40
nptr,138
nrpl,766
nwkpld,214
nyacklib,4209
NYBFL,19
NYCCH,401
NYCSN,258
NYHSR01,1925
NYMHG,370
NYNCH,17
nyrud,867
nysmm,946
occc,264
ogdensburg,5
orangetown,23
p128401coll4,18
p15004coll9,2880
p15052coll1,44
p15052coll2,18
p15052coll3,25
p15052coll4,5
p15052coll5,1712
p15085coll1,30
p15085coll2,255
p15085coll6,281
p15085coll7,924
p15109coll1,13
p15109coll11,288
p15109coll4,10
p15109coll6,809
p15109coll7,1283
p15281coll1,11
p15281coll10,1284
p15281coll104,261
p15281coll12,8001
p15281coll154,70
p15281coll19,796
p15281coll2,7115
p15281coll20,319
p15281coll25,137
p15281coll27,486
p15281coll33,638
p15281coll35,27
p15281coll36,8
p15281coll37,817
p15281coll38,93
p15281coll39,998
p15281coll40,436
p15281coll56,344
p15281coll57,126
p15281coll58,129
p15281coll59,148
p15281coll60,9
p15281coll65,80
p15281coll66,44
p15281coll75,364
p15281coll76,282
p15281coll78,340
p15281coll8,144
p15405coll1,134
p16124coll1,689
p16124coll2,4472
p16124coll3,18
p16124coll4,33
p16124coll6,30
p16124coll7,9
p16124coll8,7
p16202coll7,1545
p16373coll115,992
p16373coll122,809
p16373coll123,737
p16373coll130,566
p16373coll49,945
p16373coll50,1192
p16373coll58,1148
p16373coll59,4
p16373coll80,1463
p16373coll85,447
p16694coll1,2821
p16694coll10,8145
p16694coll100,63
p16694coll102,120
p16694coll104,2765
p16694coll105,635
p16694coll106,257
p16694coll107,1
p16694coll108,141
p16694coll109,816
p16694coll11,18
p16694coll110,42
p16694coll111,390
p16694coll112,86
p16694coll113,153
p16694coll114,55
p16694coll115,472
p16694coll116,21
p16694coll117,56
p16694coll118,138
p16694coll119,117
p16694coll12,40
p16694coll120,36
p16694coll121,2238
p16694coll122,76
p16694coll124,3762
p16694coll126,1787
p16694coll127,421
p16694coll128,19
p16694coll129,2
p16694coll13,449
p16694coll130,6
p16694coll14,26
