# ----------------------------------------
# All Web Site Data
# ContentDM Statistics with Chuck
# 20200201-20200229
# ----------------------------------------

ContentDM Collections Stats (Content Group),Pageviews
sllboces,"101,065"
(not set),"55,297"
wat,"22,966"
VHB011,"22,461"
clarkson,"19,250"
livpub01,"14,582"
stlawu,"13,924"
sunyoswego,"12,315"
supl,"9,448"
p16694coll10,"8,145"
sunypotsdam,"8,050"
p15281coll12,"8,001"
tupper,"7,148"
p15281coll2,"7,115"
p16694coll83,"7,091"
srr_oneida,"4,980"
p16694coll29,"4,888"
larc,"4,606"
p16124coll2,"4,472"
nyacklib,"4,209"
p16694coll38,"4,174"
XFM001,"3,994"
p16694coll19,"3,914"
paulsmiths,"3,914"
p16694coll124,"3,762"
newburgh,"3,702"
tpl,"3,699"
p16694coll20,"3,249"
p16694coll45,"3,213"
hsrc,"3,069"
srr_utica,"2,970"
libertyhs,"2,929"
gpl,"2,912"
p15004coll9,"2,880"
p16694coll1,"2,821"
p16694coll104,"2,765"
sunynp,"2,691"
VXU001,"2,623"
p16694coll121,"2,238"
p277601coll7,"2,101"
p16694coll25,"1,948"
hhs,"1,937"
NYHSR01,"1,925"
pchc,"1,876"
p16694coll56,"1,823"
p16694coll126,"1,787"
p15052coll5,"1,712"
cphpl,"1,688"
VTP005,"1,622"
JSY,"1,606"
p16694coll63,"1,576"
p16202coll7,"1,545"
p16373coll80,"1,463"
p16694coll65,"1,438"
BSM001,"1,407"
jcclibrary,"1,383"
VTP003,"1,341"
p16694coll79,"1,293"
VHB001,"1,287"
p15281coll10,"1,284"
p15109coll7,"1,283"
p16694coll47,"1,254"
p16694coll90,"1,200"
chs,"1,196"
p16373coll50,"1,192"
p16694coll43,"1,166"
p16373coll58,"1,148"
p16694coll15,"1,127"
p15281coll39,998
p16373coll115,992
p16694coll72,968
VXU005,954
p16694coll26,947
nysmm,946
p16373coll49,945
p15085coll7,924
srr_skanhis,905
nhc,896
eplm,884
nyrud,867
srr_ocpl,866
gcla,828
p15281coll37,817
p16694coll109,816
p15109coll6,809
p16373coll122,809
p277601coll5,802
p15281coll19,796
