# ----------------------------------------
# All Web Site Data
# ContentDM Statistics with Chuck
# 20200201-20200229
# ----------------------------------------

ContentDM Collections Stats (Content Group),Pageviews
R6A001,794
ngrl,771
nrpl,766
fhk,760
p16373coll123,737
p17042coll3,727
hrmm,716
p16694coll50,716
p16694coll96,699
pipc,698
p16124coll1,689
p16694coll85,688
bard,682
scpl,674
p16694coll6,652
p15281coll33,638
p16694coll105,635
cia,604
p16373coll130,566
elting,545
p16694coll82,540
VXU,527
bpl,501
p16694coll7,500
p16694coll75,499
p16694coll5,496
p15281coll27,486
siena,486
p16694coll51,482
p16694coll58,481
p16694coll115,472
p16694coll98,469
ipl,465
cies,459
mrhs,449
p16694coll13,449
p16373coll85,447
p15281coll40,436
hrh,434
sspl,433
p16694coll127,421
hrvi,415
p16694coll61,412
fdr,409
cornpl,405
p261501co1l12,405
srr_ecm,405
sunyup01,403
NYCCH,401
p16694coll111,390
p16694coll49,385
vassar,374
maria,370
NYMHG,370
VVN001,369
p15281coll75,364
gplhs,363
srr_enhs,359
vbmc,357
p16694coll52,355
p15281coll56,344
p16694coll86,342
Grolier01,341
p15281coll78,340
tobcl,336
uchs,320
p15281coll20,319
p16694coll78,314
p277601coll3,306
p16694coll8,291
p16694coll64,290
p274401coll1,289
p15109coll11,288
p261501coll8,287
p15281coll76,282
p15085coll6,281
qcgslis_f06,275
occc,264
sccc,263
crandall,261
p15281coll104,261
p16694coll54,259
NYCSN,258
p16694coll106,257
p15085coll2,255
fayfre01,254
p4020coll5,247
p16694coll24,245
p16694coll4,243
haal,239
p16694coll73,239
xgy,238
p16694coll27,236
rhs,236
slcha,227
mlw,223
p16694coll44,215
nwkpld,214
ppm,195
p16694coll33,184
p16694coll60,178
spl,171
BUF005,168
locustgrove,167
keenev,165
strose,164
schmuse,163
marlboro,161
qcgslis,159
dcc,156
p16694coll91,156
mbl,153
p16694coll113,153
p15281coll59,148
shs,147
BUF006,145
p15281coll8,144
p16694coll108,141
nptr,138
p16694coll118,138
ZCQ001,138
p15281coll25,137
p16694coll17,137
volney,136
p15405coll1,134
phs,133
slfl,133
p15281coll58,129
p16694coll16,129
p16694coll66,129
p15281coll57,126
srr_sghs,124
p16694coll102,120
yu,119
p16694coll119,117
p16694coll21,116
fmcc,115
rvha,110
p16694coll87,107
VX4,107
p16694coll2,102
p16694coll69,102
p16694coll36,101
p16694coll57,101
uccc,101
ZBM,100
p16694coll74,98
hvcc,94
p15281coll38,93
fpfl,92
p16694coll112,86
p16694coll41,86
YJL,86
srr_sph,84
p277601coll11,83
srr_sulaw,82
p15281coll65,80
p16694coll84,79
hvvacc,78
p277601coll4,78
p16694coll122,76
p16694coll31,76
p16694coll94,76
adkhistory,74
cchs,73
hsw,72
p16694coll23,72
p15281coll154,70
tim,70
p16694coll18,69
aiha,68
p16694coll99,67
p277601coll8,65
p16694coll22,64
cgcmh,63
p16694coll100,63
tsc,63
VRT,59
p16694coll117,56
p16694coll114,55
p16694coll35,54
cpl,53
srr_ham,53
srl,51
mv,47
p15052coll1,44
p15281coll66,44
lc,43
p16694coll59,43
p261501coll7,43
p16694coll110,42
troypl,42
p16694coll9,41
norbn,40
p16694coll12,40
dudleyo,37
nor,37
mdpl,36
p16694coll120,36
p277601coll2,35
bpl_fsc,34
p16124coll4,33
p16694coll89,31
p15085coll1,30
p16124coll6,30
senatehouse,30
YJJ,29
p15281coll35,27
p16694coll14,26
p16694coll88,26
p15052coll3,25
MC_metro,24
p16694coll28,24
p16694coll37,24
rcich,24
orangetown,23
p277601coll6,23
nnyg,22
tps,22
p16694coll116,21
p16694coll62,21
srr_lfpl,20
srr_skanlib,20
NYBFL,19
p16694coll128,19
p16694coll80,19
srr_tromp,19
p128401coll4,18
p15052coll2,18
p16124coll3,18
p16694coll11,18
NYNCH,17
dewitt01,14
p16694coll32,14
p15109coll1,13
als,12
p15281coll1,11
wilderstein,11
p15109coll4,10
miner,9
p15281coll60,9
p16124coll7,9
qc,9
srmtenv,9
grn,8
p15281coll36,8
cazcoll01,7
p16124coll8,7
salfree,7
srr_hpfl,7
YBM002,7
YJA,7
p16694coll130,6
srr_mundy,6
ssphv,6
cdlc,5
nfl,5
ogdensburg,5
p15052coll4,5
p16694coll67,5
p16694coll95,5
pchs,5
cgc,4
holytrin01,4
p16373coll59,4
srr_rshs,4
p16694coll39,3
p16694coll40,3
p16694coll70,3
undefined,3
afl,2
bc,2
gwpl,2
mfl,2
mv!norbn!newburgh!nhc!nptr!nrpl!nyacklib!occc!orangetown!pipc!phs!pchs!pchc!rhs!rvha!spl!scpl!senatehouse!shs!ssphv!srl!sunynp!tvm!twvmhs!tps!tpl!uccc!uchs!vbmc!vassar!wilderstein!nwkpld,2
p16694coll129,2
p16694coll71,2
p16694coll77,2
townofhen,2
xfr,2
ykh,2
 p15052coll1,1
id,1
p16694coll107,1
p16694coll3,1
twvmhs,1
