# ----------------------------------------
# All Web Site Data
# ContentDM Statistics with Chuck
# 20200301-20200331
# ----------------------------------------

ContentDM Collections Stats (Content Group),Pageviews
sllboces,"97,716"
(not set),"55,598"
wat,"20,383"
VHB011,"16,511"
p16694coll126,"15,703"
clarkson,"14,004"
sunyoswego,"13,208"
p16694coll10,"13,064"
supl,"11,243"
livpub01,"10,156"
p16694coll83,"9,515"
stlawu,"8,899"
p15281coll2,"8,542"
XFM001,"7,986"
p16694coll109,"7,820"
p15004coll9,"6,754"
p16694coll38,"6,206"
sunypotsdam,"6,128"
p15281coll12,"6,063"
sunynp,"5,304"
p16124coll2,"4,744"
srr_oneida,"4,557"
tupper,"4,431"
p16694coll56,"4,233"
p16694coll20,"3,177"
p16694coll90,"3,047"
larc,"3,005"
srr_utica,"2,915"
paulsmiths,"2,885"
hsrc,"2,868"
nyacklib,"2,728"
p16694coll19,"2,570"
VXU,"2,555"
tpl,"2,535"
JSY,"2,525"
p16694coll121,"2,466"
p16694coll45,"2,298"
newburgh,"2,181"
hhs,"2,034"
p16373coll49,"2,018"
jcclibrary,"1,996"
p16694coll72,"1,926"
p16373coll80,"1,912"
p15281coll37,"1,799"
VXU001,"1,725"
p277601coll7,"1,705"
libertyhs,"1,594"
p16694coll65,"1,584"
p16694coll25,"1,561"
nyrud,"1,559"
p16694coll104,"1,467"
NYHSR01,"1,437"
p16202coll7,"1,378"
p16694coll50,"1,366"
p15281coll33,"1,346"
hrh,"1,313"
p16373coll50,"1,313"
p15109coll7,"1,299"
VHB001,"1,264"
R6A001,"1,242"
gpl,"1,215"
cphpl,"1,189"
VXU005,"1,126"
p16694coll1,"1,115"
p16694coll79,"1,070"
VTP005,"1,058"
pchc,"1,057"
ngrl,"1,052"
p16373coll85,"1,032"
p16694coll63,"1,025"
p16694coll29,"1,015"
p15281coll39,"1,012"
p16694coll43,999
p16694coll124,986
vbmc,959
gcla,909
chs,907
nysmm,907
p15109coll6,887
fhk,879
p16694coll51,867
p15085coll6,829
VTP003,825
p16694coll85,792
p17042coll3,741
cia,726
hrmm,722
p16373coll58,721
cornpl,714
ipl,713
p16694coll47,713
p16124coll1,709
p16373coll122,708
pipc,706
gplhs,698
p277601coll5,691
p16373coll130,675
NYCSN,624
NYBFL,620
p16373coll123,590
p15281coll19,588
p16694coll130,583
crandall,580
p16694coll8,570
p15052coll5,566
srr_ocpl,564
bard,558
srr_ecm,558
p16694coll6,548
p15281coll76,544
p15281coll40,533
elting,529
p16373coll115,529
p16694coll26,501
p16694coll96,476
p16694coll86,472
hrvi,462
p15109coll11,462
maria,441
p15281coll20,428
Grolier01,424
p15085coll7,422
p15281coll10,419
nhc,417
scpl,415
bpl,408
p16694coll105,400
p15085coll2,394
ppm,393
xgy,389
p16694coll5,388
p16694coll113,380
VX4,380
p16694coll15,377
p16694coll58,376
fayfre01,364
BSM001,354
mlw,350
tobcl,343
haal,340
nrpl,318
NYCCH,312
eplm,309
fdr,297
p261501co1l12,294
sunyup01,291
p16694coll106,283
p16694coll98,279
p16694coll131,278
p277601coll3,277
siena,270
p16694coll61,268
p16694coll31,261
p15405coll1,260
p16694coll78,255
wilderstein,254
p16694coll24,247
uchs,241
p274401coll1,230
p16694coll54,229
p16694coll115,226
dudleyo,220
rhs,220
mrhs,219
p16694coll99,217
p15281coll57,216
p16694coll13,213
phs,208
nptr,206
p16694coll64,203
p4020coll5,203
slcha,201
ZCQ001,198
mbl,196
p16694coll111,194
p16694coll82,193
p16694coll33,192
p15281coll78,190
p16694coll4,190
p15281coll75,189
spl,188
p15281coll27,186
srr_skanhis,186
p16694coll75,184
hsw,183
p15281coll59,182
p16694coll52,180
p16694coll57,176
qcgslis_f06,176
tsc,174
sspl,173
p16694coll44,169
p16694coll69,168
NYMHG,167
p16694coll120,167
p16694coll7,167
p16694coll108,164
p277601coll2,163
p16694coll27,162
p16694coll60,161
p15085coll1,158
p16694coll119,154
p16694coll80,153
fmcc,149
vassar,139
p16694coll118,138
marlboro,135
senatehouse,130
p16694coll128,129
shs,124
fpfl,123
tps,122
p15281coll8,119
VVN001,117
p15281coll56,113
p15281coll38,112
p16694coll18,109
cchs,107
rcich,106
p16694coll2,105
p16694coll100,104
p16694coll17,104
srr_enhs,104
p16694coll12,101
p15281coll104,100
p277601coll4,100
srr_sghs,100
p16124coll4,98
srr_tromp,98
hvcc,97
p16694coll49,96
p16694coll74,95
cies,90
cpl,90
lc,90
p15281coll25,90
p16694coll110,89
p16694coll127,89
dcc,88
p15052coll1,88
p15281coll65,88
p277601coll8,87
p15109coll4,82
slfl,80
p16694coll70,79
hvvacc,77
p16694coll91,76
p128401coll7,72
afl,71
mv,71
ZBM,70
aiha,69
p16694coll37,68
volney,68
nwkpld,66
p15281coll58,66
srr_ham,65
p16694coll23,63
p16694coll102,62
locustgrove,60
nor,60
p16694coll16,57
adkhistory,56
p16694coll41,56
p16694coll129,55
p16694coll114,54
strose,54
townofhen,54
p15281coll154,53
uccc,53
p16694coll9,51
cgcmh,50
p16694coll122,50
p16694coll3,50
p16694coll22,49
schmuse,48
p16694coll14,47
YJL,46
miner,43
sccc,43
p16124coll6,42
srr_sph,42
