# ----------------------------------------
# All Web Site Data
# ContentDM Statistics with Chuck
# 20200301-20200331
# ----------------------------------------

ContentDM Collections Stats (Content Group),Pageviews
bpl_fsc,39
p15052coll2,39
p16694coll66,38
p15281coll66,37
p128401coll4,36
p15281coll60,35
p16694coll59,35
rvha,35
p15281coll35,34
p16694coll21,34
p16694coll35,34
p16694coll73,29
p16694coll84,26
p261501coll7,26
p261501coll8,26
salfree,26
p16694coll34,25
keenev,24
tim,24
troypl,24
BUF005,23
orangetown,23
p15109coll1,22
p16694coll36,22
ssphv,21
YJJ,21
p16124coll3,20
p16694coll62,20
holytrin01,19
p16694coll28,19
p16694coll88,18
p16694coll94,18
VRT,18
p16694coll40,17
p16694coll89,17
qcgslis,16
srl,16
srr_sulaw,16
grn,15
YBM002,15
nnyg,14
p16694coll76,14
BUF006,12
p15052coll3,12
p16694coll11,12
p16694coll77,12
occc,11
p16694coll112,11
p16694coll39,11
p277601coll11,11
xfr,11
mdpl,10
p16694coll71,10
qc,10
als,9
p16124coll7,9
YJA,9
dewitt01,8
srr_skanlib,8
ykh,8
MC_metro,7
nfl,7
norbn,7
p128401coll5,7
p15281coll1,7
p277601coll6,7
srr_lfpl,7
bc_sh,6
gwpl,6
p16373coll59,6
16694coll1,4
cdlc,4
dchs,4
p16124coll8,4
p16694coll95,4
pchs,4
quitman,4
bpl_smp,3
p16694coll107,3
p16694coll68,3
p16694coll87,3
srr_rshs,3
yu,3
astorcol,2
bc,2
elting!uchs,2
NYNCH,2
ogdensburg,2
p15052coll4,2
p15281coll36,2
p16694coll116,2
p16694coll117,2
p16694coll32,2
p16694coll97,2
srr_hpfl,2
cgc,1
id,1
srmtenv,1
sunyosweggoogle,1
