# ----------------------------------------
# All Web Site Data
# New Statistics with Chuck
# 20190924-20190930
# ----------------------------------------

New Statistics with Chuck (Content Group),Pageviews
st-lawrence-county-historical-association,2
staatsburg-library-image-collection,2
steinmetz-digital-collection-schenectady,2
suffern-ny-history-collection,2
ten-eyck-fonda-collection,2
ticonderoga-pulp-and-paper-company-photograph-collection,2
time_period/1600/time_period/1610/time_period/1620,2
time_period/1830,2
time_period/1830?page=1,2
time_period/1830?page=2,2
time_period/1830?page=3,2
time_period/1830?page=4,2
time_period/1910,2
time_period/1960,2
time_period/1970,2
time_period/1970/field_alpha_sort/O,2
town-volney-scrapbooks,2
tuxedo-park-historic-postcards,2
tuxedo-park-national-register-historic-places-inventory,2
ulster-county-community-college-macdonald-dewitt-library,2
union-college-william-hahn-postcard-collection,2
vassar-brothers-medical-center-archives,2
vassar-college-archives-special-collections-library,2
village-freeport-newsletters,2
virginia-marshall-martus-collection,2
walter-t-shirley-collection,2
walworth-historical-society,2
ward-manor,2
wells-college-louis-jefferson-long-library,2
western-new-york-genealogical-society,2
whaling-museum-and-education-center,2
william-n-weeden-color-printing-manuscript-1886,2
womens-rights-collection,2
woodstock-artists-association-and-museum-collection,2
woodstock-byrdcliffe-guild-collection,2
woodstock-public-library-district,2
YJA,2
1825-pivotal-year-niagara-frontier,1
1909-hudson-fulton-celebration-postcards,1
adirondack-architectural-heritage,1
aerial-photographs-cary-institute-ecosystem-studies,1
african-american-presence-hudson-valley,1
agricola-and-paysonian-yearbooks?fbclid=IwAR0gDYfH8pL8npHKV3rgVTSls1f8Igq9CzbokBjqmV5wgwi8iu2l-nOqjKI,1
albany-college-pharmacy-and-health-sciences-paul-byrnes-34-archives,1
albany-law-school,1
albert-wisner-public-library,1
albion-winegar-tourgee-collection,1
alexis-johnson-collection,1
alfred-university-herrick-library,1
alfred-university-new-york-state-college-ceramics,1
anna-e-wilcox-collection,1
appellate-division-fourth-department-law-library,1
archives-holland-land-company&from=http://m.facebook.com,1
autographs,1
bard-tivoli-history-collection,1
barge-canal-construction-western-division,1
bethlehem-public-library?fbclid=IwAR2E-WdUr9mDhZgVl1X4YMKqJv5jQqy8qBjvRAK8K4mBsYROBJQdmd5XS0Q,1
big-flats-and-chemung-county-historical-collection,1
binghamton-university-binghamton-university-libraries,1
brentwood-postcards,1
buffalo-central-terminal-scrapbook&from=http://www.buffaloresearch.com/pix.html,1
camp-russell-boy-scouts-collection,1
charles-sylvester-piersaull-photographs,1
chatham-public-library-yearbook-collection,1
chautauqua-cattaraugus-library-system-lakewood-memorial-library,1
civil-war-collection,1
civil-war-letters,1
clarkson-family-history-collection,1
clifton-fine-central-school-yearbooks-collection?fbclid=IwAR25wije6_sXRaZMKsRF9J2vdoqyQbmvaAJ6-9TFqigHgr8QQttWrhzP2Ds,1
clifton-fine-central-school-yearbooks-collection?fbclid=IwAR2wIEsmUaCodLSC_SQSsOFh8FKZ_0lbt-i_GpYWqXkhX8vkTOToBnIr6-g,1
clifton-fine-central-school-yearbooks-collection?fbclid=IwAR3qLVEcHyoQJTotYbHCLgY5mbMxO7GOyeLRuYpl3OOBlkyOu-ynWQGo0lQ,1
clinton-liberal-institute,1
collection_type/scrapbooks?search_api_views_fulltext=New+York+ordnance+works,1
collection_type/yearbooks?page=9,1
collection_type/yearbooks?search_api_views_fulltext=bronx,1
collection_type/yearbooks?search_api_views_fulltext=the+bronx,1
college-saint-rose-archives-photograph-collection,1
college-saint-rose-archives-student-literary-and-creative-publications,1
colonel-elmer-e-ellsworth-collection,1
community-library-dewitt-jamesville,1
convivium-collection,1
corning-community-college-arthur-houghton-jr-library,1
daemen-college-daemen-college-library,1
dchs,1
deruyter-town-history-postcard-collection,1
doll-collection,1
dowling-college-dowling-college-library,1
dudley-observatory-artifacts,1
dutcher-family-collection,1
early-records-sacarissa-lodge-independent-order-odd-fellows,1
edward-m-ruttenber-collection,1
elizabeth-blackwell,1
ellenville-postcard-collection,1
ellis-hospital-collection,1
emancipator,1
emily-howland-papers,1
episcopal-diocese-central-new-york,1
eric-lindsay-memorial-postcard-collection,1
erie-canal,1
erie-canal-photograph-collection,1
erma-dewitt-photographs,1
fairfield-medical-college,1
farmingdale-public-library,1
field_alpha_sort?page=90,1
field_alpha_sort?page=91,1
field_alpha_sort?page=92,1
field_alpha_sort?page=93,1
field_alpha_sort?page=94,1
field_alpha_sort?page=95,1
field_alpha_sort?page=96,1
field_alpha_sort/A,1
field_alpha_sort/B?page=10,1
field_alpha_sort/B?page=9,1
field_alpha_sort/B?search_api_views_fulltext=ballston+spa,1
field_alpha_sort/B?search_api_views_fulltext=newspapers,1
field_alpha_sort/B?search_api_views_fulltext=yearbooks,1
field_alpha_sort/C?page=10,1
field_alpha_sort/C?page=12,1
field_alpha_sort/C?page=13,1
field_alpha_sort/C?page=15,1
field_alpha_sort/C?page=2,1
field_alpha_sort/C?page=5,1
field_alpha_sort/C?page=7,1
field_alpha_sort/C?page=8,1
field_alpha_sort/C?page=9,1
field_alpha_sort/C?search_api_views_fulltext=Chittenango+,1
field_alpha_sort/C?search_api_views_fulltext=William+L.+Hyde,1
field_alpha_sort/D,1
field_alpha_sort/D?page=1,1
field_alpha_sort/D?page=2,1
field_alpha_sort/E?search_api_views_fulltext=contract+30&=Go,1
field_alpha_sort/E?search_api_views_fulltext=erie+canal&=Go,1
field_alpha_sort/E?search_api_views_fulltext=erie+canal+contract+30&=Go,1
field_alpha_sort/E?search_api_views_fulltext=erie+canal+oswego&=Go,1
field_alpha_sort/F?page=1,1
field_alpha_sort/F?page=5,1
field_alpha_sort/F?page=7,1
field_alpha_sort/G?page=1,1
field_alpha_sort/G?page=2,1
field_alpha_sort/G?page=3,1
field_alpha_sort/G?page=4,1
field_alpha_sort/G?page=5,1
"field_alpha_sort/G?search_api_views_fulltext=Gloversville,+NY",1
field_alpha_sort/H?page=1,1
field_alpha_sort/H?page=10,1
field_alpha_sort/H?page=13,1
field_alpha_sort/H?page=16,1
field_alpha_sort/H?page=17,1
field_alpha_sort/H?page=18,1
field_alpha_sort/H?page=2,1
field_alpha_sort/H?page=7,1
field_alpha_sort/H/nyh_topic/people,1
field_alpha_sort/H/nyh_topic/people?page=1,1
field_alpha_sort/H/nyh_topic/people?page=4,1
field_alpha_sort/J,1
field_alpha_sort/J?page=1,1
field_alpha_sort/J?page=2,1
field_alpha_sort/L?page=3,1
field_alpha_sort/L?page=4,1
field_alpha_sort/M?page=3,1
field_alpha_sort/M?page=4,1
field_alpha_sort/M?page=5,1
field_alpha_sort/M?page=7,1
field_alpha_sort/M?page=9,1
field_alpha_sort/M?search_api_views_fulltext=Adirondack+League+Club+Map,1
field_alpha_sort/M?search_api_views_fulltext=map+of+Greene+county,1
field_alpha_sort/N?page=11,1
field_alpha_sort/N?page=2,1
field_alpha_sort/N?page=6,1
field_alpha_sort/N?page=7,1
field_alpha_sort/N?page=8,1
field_alpha_sort/N?search_api_views_fulltext=Newyorkordananceworks,1
field_alpha_sort/N?search_api_views_fulltext=yearbooks,1
field_alpha_sort/N/collection_type/yearbooks,1
field_alpha_sort/N/nyh_topic/government-law-politics,1
field_alpha_sort/N/nyh_topic/government-law-politics?page=1,1
field_alpha_sort/N/time_period/83611,1
field_alpha_sort/O/collection_type/yearbooks,1
field_alpha_sort/P?page=1,1
field_alpha_sort/P?page=2,1
field_alpha_sort/P?page=7,1
field_alpha_sort/R?page=1,1
field_alpha_sort/R?search_api_views_fulltext=1876+Reed+map,1
field_alpha_sort/R?search_api_views_fulltext=Farmingdale,1
field_alpha_sort/R?search_api_views_fulltext=langford,1
field_alpha_sort/S?page=8,1
field_alpha_sort/S?search_api_views_fulltext=holland+land+company+,1
field_alpha_sort/S?search_api_views_fulltext=Sorrentino,1
field_alpha_sort/S/nyh_topic/education?page=1,1
field_alpha_sort/V,1
field_alpha_sort/V?page=1,1
field_alpha_sort/V?page=2,1
field_alpha_sort/V?search_api_views_fulltext=hermance,1
field_alpha_sort/W?page=1,1
field_alpha_sort/W?page=3,1
field_alpha_sort/W?page=4,1
field_alpha_sort/W?search_api_views_fulltext=1775,1
field_alpha_sort/W?search_api_views_fulltext=revolutionary+war,1
field_alpha_sort/W?search_api_views_fulltext=sons+of+american+revolution,1
flickinger-papers&from=,1
floods-chemung-county,1
forest-lawn-cemetery-margaret-l-wendt-archive-and-resource-center,1
fort-plain-free-library,1
fort-plain-street-fair,1
fpfl,1
francis-m-and-henry-h-stone-collection,1
franklin-county-historical-and-museum-society,1
fred-walster-diary,1
galway-public-library,1
garden-city-general-collection,1
genealogy/digital.asp,1
general-collection,1
george-nathan-newman-collection-photographs-vanishing-buffalo&from=,1
golden-hill-school-collection,1
greater-oneonta-historical-society,1
greene-county-libraries-association?fbclid=IwAR35jYUDpHKofU0Krp69SBC5BW4aFiBP4xVL8VhmLehr6bOYgmby0t3VTHo,1
greene-county-libraries-association?fbclid=IwAR3x6xztkr8vkmNGzbSgD7ZdiP3gL85EhMQ78HKnfKROPTbZHMCd0arA3pA,1
greenwood-lake-public-library,1
greenwood-lake-public-library-scrapbooks,1
half-hollow-hills-community-library,1
hamilton-burr-duel-collection,1
hartwick-seminary-records-hartwick-college,1
haverstraw-ny-history-collection,1
heermance-memorial-library-digital-collection,1
henry-page-historical-files,1
herschell-carrousel-factory-museum,1
hicksville-public-library,1
highland-hospital-1889-1940,1
historic-greeting-cards,1
historic-postcards-ulster-county,1
historical-photographs-lynbrook,1
history-center-tompkins-county,1
hofstra-buildings-collection,1
holland-patent-free-library,1
holy-family-high-school-yearbooks,1
homelands-exhibition,1
horse-thieves-collection,1
hudson-8000-years-native-american-history-and-culture,1
hws-vail-photograph-collection,1
images-early-vassar,1
industries-old-new-hartford-collection,1
ithaca-college-photographs,1
ithaca-college-yearbooks,1
jefferson-community-college-jefferson-community-college-library,1
jennie-curtis-cannon-collection,1
justus-f-mueller-phd-papers,1
katherine-deyo-cookingham-downer-collection,1
kay-flickinger-papers&from=,1
lake-placid-public-library-photograph-archive,1
leo-h-bock-lynbrook-photo-collection,1
levittown-public-library,1
library-association-rockland-county-haverstraw-kings-daughters-public-library,1
library-association-rockland-county-valley-cottage-library,1
lily-dale-postcards,1
longwood-public-library,1
madison-county-atlases,1
mag-exhibition-views,1
major-william-welch-document-collection,1
manhasset-photograph-collection,1
margaret-hort-trudeau-sanatorium-photograph-collection,1
margaret-woodbury-strong-papers-1897-1969,1
maria-college-occupational-therapy-department-assistive-device-collection?fbclid=IwAR2mjbFM3AYJK6gzJf7MODeQnEws4jMeLTQPN8zaDwBMF4ETbxV7vwzFZsI,1
marty-himes-racing-collection,1
mary-fowler-gaines-postcard-collection,1
maurice-leyden-collection,1
mechanicville-district-public-library,1
merrick-veterans-collection,1
militia-enrollment-scrapbook-1888-1917,1
milton-price-and-tomlin-art-co-postcard-collection,1
morristown-central-school-yearbooks?fbclid=IwAR0bVxe2PCG0dENi_9v_kxP2OwAslVJjAfLQ6tZJRPaqQYCBeIpS-w0zqQ4,1
nccc-commencement-ceremony-programs,1
new-city-library-image-collection,1
new-city-library-oral-history-collection,1
new-hartford-public-library,1
new-paltz-town-records-digital-collection,1
new-york-chiropractic-college-new-york-chiropractic-college-museum,1
newark-area-history-and-views,1
newark-public-library,1
newark-public-library-history,1
niagara-county-community-college-yearbooks,1
norman-l-woodford-md-papers,1
nyh_topic/agriculture/privacy/privacy/user?page=94,1
nyh_topic/arts-entertainment?page=1,1
nyh_topic/arts-entertainment?page=10,1
nyh_topic/arts-entertainment?page=11,1
nyh_topic/arts-entertainment?page=13,1
nyh_topic/arts-entertainment?page=14,1
nyh_topic/arts-entertainment?page=2,1
nyh_topic/arts-entertainment?page=3,1
nyh_topic/arts-entertainment?page=5,1
nyh_topic/arts-entertainment?page=6,1
nyh_topic/arts-entertainment?page=8,1
nyh_topic/arts-entertainment?page=9,1
nyh_topic/community-events,1
nyh_topic/community-events?page=1,1
nyh_topic/community-events?page=10,1
nyh_topic/community-events?page=11,1
nyh_topic/community-events?page=12,1
nyh_topic/community-events?page=13,1
nyh_topic/community-events?page=14,1
nyh_topic/community-events?page=16,1
nyh_topic/community-events?page=17,1
nyh_topic/community-events?page=18,1
nyh_topic/community-events?page=19,1
nyh_topic/community-events?page=2,1
nyh_topic/community-events?page=20,1
nyh_topic/community-events?page=21,1
nyh_topic/community-events?page=22,1
nyh_topic/community-events?page=23,1
nyh_topic/community-events?page=24,1
nyh_topic/community-events?page=25,1
nyh_topic/community-events?page=26,1
nyh_topic/community-events?page=27,1
nyh_topic/community-events?page=28,1
nyh_topic/community-events?page=29,1
nyh_topic/community-events?page=3,1
nyh_topic/community-events?page=30,1
nyh_topic/community-events?page=31,1
nyh_topic/community-events?page=32,1
nyh_topic/community-events?page=33,1
nyh_topic/community-events?page=34,1
nyh_topic/community-events?page=35,1
nyh_topic/community-events?page=36,1
nyh_topic/community-events?page=37,1
nyh_topic/community-events?page=38,1
nyh_topic/community-events?page=39,1
nyh_topic/community-events?page=4,1
nyh_topic/community-events?page=40,1
nyh_topic/community-events?page=5,1
nyh_topic/community-events?page=6,1
nyh_topic/community-events?page=7,1
nyh_topic/community-events?page=8,1
nyh_topic/community-events?page=9,1
nyh_topic/daily-life?page=1,1
nyh_topic/daily-life?search_api_views_fulltext=Putnam,1
nyh_topic/education/field_alpha_sort/S,1
nyh_topic/education/field_alpha_sort/S?page=1,1
nyh_topic/education/field_alpha_sort/S?page=2,1
nyh_topic/education/field_alpha_sort/S/collection_type/yearbooks,1
nyh_topic/education/field_alpha_sort/T,1
nyh_topic/education/time_period/1890?search_api_views_fulltext=potsdam+normal+school,1
nyh_topic/education/time_period/1890/time_period/1900?search_api_views_fulltext=potsdam+normal+school,1
nyh_topic/environment-nature?page=18,1
nyh_topic/environment-nature?search_api_views_fulltext=Chancellor+Robert+R.+Livingston,1
nyh_topic/environment-nature?search_api_views_fulltext=Cox,1
nyh_topic/environment-nature?search_api_views_fulltext=COx,1
"nyh_topic/environment-nature?search_api_views_fulltext=Hudson,+New+York",1
nyh_topic/environment-nature?search_api_views_fulltext=Laurie+Cox,1
nyh_topic/environment-nature?search_api_views_fulltext=Montgomery+C.+Smith,1
nyh_topic/environment-nature?search_api_views_fulltext=Robert+R.+Livingston,1
nyh_topic/environment-nature/field_alpha_sort/R,1
nyh_topic/environment-nature/nyh_topic/work-labor,1
nyh_topic/ethnic-groups?page=2,1
nyh_topic/ethnic-groups?page=3,1
nyh_topic/ethnic-groups?page=4,1
nyh_topic/ethnic-groups?page=5,1
nyh_topic/ethnic-groups?page=6,1
nyh_topic/ethnic-groups?page=7,1
nyh_topic/ethnic-groups?search_api_views_fulltext=bedford-stuy!,1
nyh_topic/ethnic-groups?search_api_views_fulltext=bedford-stuyvesant,1
nyh_topic/ethnic-groups?search_api_views_fulltext=irish+stuyvesant,1
nyh_topic/ethnic-groups/nyh_topic/community-events,1
nyh_topic/geography-maps?page=1,1
nyh_topic/geography-maps?page=10,1
nyh_topic/geography-maps?page=2,1
nyh_topic/geography-maps?page=3,1
nyh_topic/geography-maps?page=4,1
nyh_topic/geography-maps?page=6,1
nyh_topic/geography-maps?page=7,1
nyh_topic/geography-maps?page=8,1
nyh_topic/geography-maps?page=9,1
nyh_topic/government-law-politics,1
nyh_topic/government-law-politics?page=1,1
nyh_topic/government-law-politics?page=2,1
nyh_topic/government-law-politics?page=3,1
nyh_topic/government-law-politics?page=4,1
nyh_topic/government-law-politics?page=5,1
nyh_topic/government-law-politics?page=7,1
nyh_topic/medicine-science-technology,1
nyh_topic/medicine-science-technology?search_api_views_fulltext=amsterdam,1
nyh_topic/medicine-science-technology?search_api_views_fulltext=fort+plain,1
nyh_topic/medicine-science-technology?search_api_views_fulltext=fulton,1
nyh_topic/medicine-science-technology?search_api_views_fulltext=physicians,1
nyh_topic/medicine-science-technology?search_api_views_fulltext=van+aken,1
nyh_topic/medicine-science-technology?search_api_views_fulltext=van+auken,1
nyh_topic/military-war?search_api_views_fulltext=hugh+m+wright,1
nyh_topic/military-war?search_api_views_fulltext=spanish+american+war,1
nyh_topic/transportation,1
nyh_topic/transportation/nyh_topic/geography-maps,1
occc,1
oceanside-high-school-yearbooks?fbclid=IwAR3eF2hFCPWR_fPRuLOTXAKAZok9bd6d0SyAU3JfQ0KwCsC3hTqQvMWq41M,1
oceanside-library,1
octagon-houses-collection?fbclid=IwAR1SDsRfFXAxwTS3AjWRzjMW3_fIoWh_f9qVSQXhEbQPw_Z90MA7B4A-lG4,1
old-sand-hole-church,1
oneida-county-anti-slavery-petitions,1
oneonta-ny-railroad-memorabilia-hartwick-college,1
onondaga-community-college-yearbooks,1
ontarian-yearbooks,1
p16694coll21,1
p16694coll55,1
p16694coll76,1
p277601coll11,1
page/2,1
page/3,1
patrick-casey-collection,1
personalities,1
phillip-trypuc-collection,1
phillip-winchester-collection,1
polish-community-syracuse-ny,1
potsdam-normal-magazine,1
potsdam-normal-school-collection,1
potsdam-railroad-1850-2000,1
privacy?page=48,1
privacy&from=,1
proceedings-rochester-academy-science,1
qc,1
red-hook-postcards,1
reminiscent-history-north-collins-erie-county-ny&from=https://en.m.wikipedia.org/,1
richard-linke-collection-adirondacks-re-viewed-photographs,1
richard-t-gilmartin-collection,1
rochester-area-historians-holdings,1
rochester-homeopathic-genesee-hospital-collection,1
rochester-museum-science-center,1
rockville-centre-library-history,1
roosevelt-vanderbilt-historical-association,1
sally-ploof-hunter-memorial-library,1
saranac-inn-photograph-collection,1
sardinia-historical-society,1
saugerties-ny-history-collection,1
saugerties-public-library,1
schaffer-library-postcard-collection,1
scrlc-historical-photographs-and-documents,1
sister-joanette-rutkowski-fssj-archives-and-historical-collection,1
skaneateles-lake-collection,1
solvay-geddes-historical-society,1
somers-local-history-collection,1
soule-collection,1
south-central-regional-library-council,1
spencerport-high-school-yearbooks,1
st-josephs-college-callahan-library,1
st-marys-academy-yearbooks-collection,1
state-reservation-niagara,1
state-university-new-york-canton-southworth-library,1
steele-memorial-library,1
sterling-iron-railway-company-correspondence-collection,1
sterling-mines-photograph-collection,1
stone-ridge-public-library,1
suny-brockport-stylus-collection,1
suny-erie-community-college-suny-erie,1
suny-plattsburgh-campus-newsletters,1
suny-polytechnic-institute-cayan-library,1
suny-schenectady-county-community-college-50th-anniversary-collection,1
terms&from=,1
time_period/1600/time_period/1610/time_period/1620/time_period/1680,1
time_period/1700,1
time_period/1800,1
time_period/1830/time_period/1860,1
time_period/1870,1
time_period/1870/field_alpha_sort/T,1
time_period/1870/field_alpha_sort/T?search_api_views_fulltext=Anson,1
time_period/1890/field_alpha_sort/G,1
time_period/1900,1
time_period/1910/time_period/1860,1
time_period/1910/time_period/1860?page=1,1
time_period/1910/time_period/1860?page=2,1
time_period/1950/privacy/field_alpha_sort/A?page=8,1
time_period/1960/time_period/1930,1
time_period/1970?page=4,1
time_period/1970?search_api_views_fulltext=yearbooks,1
time_period/1970?search_api_views_fulltext=yearbooks&page=1,1
time_period/1970?search_api_views_fulltext=yearbooks&page=2,1
time_period/1970?search_api_views_fulltext=yearbooks&page=3,1
time_period/1970?search_api_views_fulltext=yearbooks&page=4,1
time_period/1970?search_api_views_fulltext=yearbooks&page=5,1
time_period/1970/field_alpha_sort/L,1
time_period/1970/field_alpha_sort/O?search_api_views_fulltext=yearbooks,1
town-ballston-digital-collection,1
townofhen,1
troy-public-library,1
troy-public-library-postcard-collection?fbclid=IwAR034KVNsvwPUfGu_siYyEy4V2Dp1gkFPcxRp6AQLLBJAxVGOUXBF-2P9Cc,1
troy-public-library-postcard-collection?fbclid=IwAR2fLU3lyINd0vey4T7ClPwi6daZWgWyo_iSz8Q65NhERmyFWXWDQpDme6U,1
troy-public-library-postcard-collection?fbclid=IwAR3LaTg4kWU0ApcpZCyWryhWdsQs3R8qmNKVHmmW1vWeb7DGnK_AspCFO0E,1
twvmhs,1
union-college-civil-war-era-patriotic-envelopes,1
university-rochester-medical-center-eastman-institute-oral-health,1
university-rochester-medical-center-highland-hospital,1
us-army-52nd-general-hospital-collection,1
utica-college-center-historical-research,1
utica-zoo-collection,1
verne-morton-photograph-collection,1
violetta-white-delafield-mushroom-collection?fbclid=IwAR1q8VT7qvcbkkCrkpSs7eVcckgLJNSRoS2HWMNjhsv2Fj5ZgOWudUWIW-Y,1
walt-whitman-collection,1
ward-manor-collection,1
washingtonville-historic-postcard-collection,1
waterbury-mill,1
watervliet-businesses,1
west-monroe-historical-collection,1
westbury-memorial-public-library,1
william-suydam-letters,1
ws-teator-glass-plate-negative-collection,1
