cranberry-lake-yearbooks,3
crandall,64
crandall-public-library,5
crane-school-music,3
crouse-health-medical-library,4
crouse-hospital-history,14
crystal-beach,6
culinary-institute-america-archives-and-special-collections,24
culinary-institute-america-menu-collection,5
cure-cottages-saranac-lake-ny,4
daemen-college-daemen-college-library,1
daredevils-niagara-photos-writing-orrin-e-dunlap-collection,5
darwin-d-martin-photograph-collection,6
dcc,29
dchs,1
deruyter-town-history-postcard-collection,1
dewitt01,10
digital-long-island,4
doll-collection,1
douglass-monthly,15
dowling-college-dowling-college-library,1
dudley-observatory-artifacts,1
dudleyo,54
dunham-public-library,2
dutcher-family-collection,1
dutchess-community-college-francis-u-and-mary-f-ritz-library,2
dyouville-college-architecture-buildings-grounds,2
earlville-free-library,2
early-canastota-collection,5
early-history-potsdam,2
early-records-sacarissa-lodge-independent-order-odd-fellows,1
east-hampton-library,5
east-meadow-collection,9
east-meadow-public-library,2
edward-m-ruttenber-collection,1
edwards-knox-central-school-yearbooks-collection,8
elizabeth-blackwell,1
elizabeth-ryan-collection,2
ellenville-postcard-collection,1
ellenville-public-library-museum,7
ellis-hospital-collection,1
elmira-college-women’s-rights-and-suffrage-collection,2
elon-howard-eaton-ornithology-collection,2
elting,196
elting-memorial-library-haviland-heidgerd-historical-collection,10
emancipator,1
emily-howland-papers,1
emporium-lumber-company-photograph-collection,2
encyclopedia-union-college-history,7
endicott-area-newspapers,2
episcopal-diocese-central-new-york,1
eplm,55
eric-lindsay-memorial-postcard-collection,1
erie-canal,1
erie-canal-museum,7
erie-canal-photograph-collection,1
erieville-nelson-heritage-society,4
erieville-nelson-historic-collection,2
erma-dewitt-photographs,1
ernie-simon-collection,6
fairfield-medical-college,1
families-upstate-new-york,2
farmingdale-historical-collection,19
farmingdale-public-library,1
farmingdale-state-college-thomas-d-greenley-library,5
fayetteville-free-library,4
fayetteville-manlius-yearbooks,8
fdr,72
fenimore-art-museum,11
fhk,143
flickinger-papers,1
flood-1972-genesee-river-letchworth-state-park,4
floods-chemung-county,1
fmcc,6
forest-lawn-cemetery-margaret-l-wendt-archive-and-resource-center,1
forsyth-family-collection,3
fort-orange-collection,2
fort-plain-free-library,1
fort-plain-street-fair,1
fpfl,1
francis-m-and-henry-h-stone-collection,1
franklin-county-historical-and-museum-society,1
franklin-d-roosevelt-library,3
fred-walster-diary,1
frederick-douglass-paper,15
freeport-high-school-yearbooks-and-commencement-programs,10
freeport-historic-photographs,48
freeport-memorial-library,24
friends-historic-kingston,5
galway-public-library,1
gar-wood-collection,5
garden-city-general-collection,1
garden-city-public-library,3
gcla,271
ge-research-lab-photographs,2
gene-horton-collection,12
genealogy/digital.asp,1
general-collection,1
general-electric-photographs,2
genesee-community-college-history,2
genesee-valley-hunt,6
genesee-valley-town-and-country-collection,4
geneva-historical-society,12
geneva-medical-college-1834-1871,11
geneva-ny-city-directories,5
geneva-public-library,2
george-f-johnson-memorial-library,4
george-nathan-newman-collection-photographs-vanished-and-vanishing-buffalo,3
george-nathan-newman-collection-photographs-vanishing-buffalo,1
glen-cove-historic-postcards,2
glen-cove-library,5
glen-cove-public-library-photograph-collection,3
glens-falls-hometown-usa,3
golden-age-st-lawrence,2
golden-hill-school-collection,1
gordon-muck-collection,42
goshen-ny-postcards,5
goshen-public-library-historical-society,6
gouverneur-central-school-yearbooks-collection,21
gpl,81
gplhs,62
great-neck-library,6
great-neck-photographs-collection,3
greater-oneonta-historical-society,1
greene-county-libraries-association,12
greene-county-libraries-association,2
greene-county-libraries-association,1
greene-county-libraries-association,1
greenwood-lake-public-library,1
greenwood-lake-public-library-scrapbooks,1
gridiron-yearbooks,7
grn,2
groundbreaking-health-sciences-library,2
grove-sheldon-gilbert-portraits,7
grumman,8
haal,120
half-hollow-hills-community-library,1
half-hollow-hills-historic-melville,2
hamilton-burr-duel-collection,1
hammond-central-school-yearbooks,5
hardy-family-photographs,2
harriet-martin-dey-photograph-collection,6
harrisville-central-school-yearbooks,2
harry-bruno-collection,3
hartwick-seminary-records-hartwick-college,1
harvey-fite-collection,4
hasbroucks-locust-lawn,2
haverstraw-ny-history-collection,1
haviland-heidgerd-historical-collection-images-and-documents,5
heermance-memorial-library-digital-collection,1
hempstead-public-library,3
henry-page-historical-files,1
henry-uihlein-scrapbook,5
herbert-pratt-estate-collection,2
hermon-dekalb-central-school-yearbooks-collection,4
herschell-carrousel-factory-museum,1
heuvelton-central-school-yearbooks,14
hhs,677
hicksville-public-library,1
high-school-yearbooks-chemung-county,11
highland-hospital-1889-1940,1
highland-hospital-1940-1949-school-nursing-during-world-war-ii,5
highland-hospital-school-nursing-scrapbooks,2
hilbert-college-mcgrath-library,2
hiram-s-wilson-civil-war-letters,5
historic-bayport-snapshots-time,2
historic-greeting-cards,1
historic-hempstead,58
historic-huguenot-street,18
historic-huguenot-street-photographs-and-portraits,3
historic-ithaca,3
historic-postcards-east-rockaway-ny,7
historic-postcards-lynbrook-ny,5
historic-postcards-new-rochelle,3
historic-postcards-ulster-county,1
historic-red-hook,36
historical-maps-ithaca-and-tompkins-county,4
historical-photographs-east-rockaway,2
historical-photographs-lynbrook,1
historical-society-east-rockaway-and-lynbrook,17
historical-society-massapequas-collection,11
historical-society-rockland-county,17
history-black-community-syracuse,15
history-center-tompkins-county,1
history-town-amherst-new-york-1818-1965,9
history-village-lakewood,5
history-waterville-collection,8
hobart-and-william-smith-colleges,2
hofstra-buildings-collection,1
hofstra-estate-collection,10
hofstra-university-hofstra-university-library,3
holland-land-company-archives,20
holland-land-company-maps,64
holland-patent-free-library,1
holy-family-high-school-yearbooks,1
homelands-exhibition,1
honeoye-falls-lima-yearbook-collection,17
horse-thieves-collection,1
hospital-good-shepherd,4
houghton-college-willard-j-houghton-library,5
hrh,80
hrmm,165
hrvi,176
hsrc,679
hsw,20
hudson-8000-years-native-american-history-and-culture,1
hudson-area-library,12
hudson-fulton-celebration-1909,3
hudson-river-day-line-collection,5
hudson-river-maritime-museum,12
hudson-river-night-boat-collection,2
hudson-river-valley-institute,5
hudson-valley-community-college,6
hudson-valley-technical-institute-1953-1958,7
hudson-valley-visual-art-collections-consortium,3
huntington-archives,6
huntington-documents,2
huntington-historical-maps,2
huntington-historical-photographs,3
huntington-legal-manuscripts,7
huntington-memorial-library,4
huntington-political-cartoons,3
huntington-postcard-collection,2
huntington-public-library,12
huntington-town-clerks-archives,13
huntington-war-manuscripts,4
hvcc,156
hvvacc,21
hws-vail-photograph-collection,1
hyde-hall,3
ilion-urban-renewal-collection,8
images-early-vassar,1
images-kingston-new-york,4
images-rockland-county,3
industries-old-new-hartford-collection,1
ingraham-p-smith-collection,2
ipl,109
irvington-ny-history-collection,6
irvington-public-library,6
ithaca-college-library,7
ithaca-college-photographs,1
ithaca-college-yearbooks,1
j-n-adam-memorial-hospital,10
james-milne-suny-oneonta,3
jamestown-and-olean-ny-city-directories-1875-1916,3
jcclibrary,92
je-me-souviensi-remember-presenting-and-preserving-heritage-upstate-new-yorks-franco,17
jefferson-community-college-jefferson-community-college-library,1
jennie-curtis-cannon-collection,1
jervis-public-library,6
jewish-buffalo-image-collection,4
john-b-jervis-drawings,3
john-scott-postcard-collection,2
jones-collection,2
joseph-h-treyz-collection-civil-war-patriotic-envelopes,2
judicial-portrait-collection,2
justus-f-mueller-phd-papers,1
katherine-deyo-cookingham-downer-collection,1
kay-flickinger-dockstader-papers,2
kay-flickinger-papers,1
keenev,61
ken-spooner-collection,3
kent-historical-society-digital-collection,3
keuka-college-lightner-library,4
kingston-ibm-years,3
la-bella-america-old-country-north-country,5
lake-placid-olympic-museum,6
lake-placid-public-library,2
lake-placid-public-library-photograph-archive,1
lake-view-cemetery-records,28
lantern-slides-palisades-interstate-park-commission,2
larc,888
lc,22
leo-h-bock-lynbrook-photo-collection,1
levittown-history-collection,7
levittown-public-library,1
lewis-h-brown-collection,2
liberty-high-school-library,7
liberty-high-school-yearbooks,10
libertyhs,641
library-association-rockland-county,2
library-association-rockland-county-haverstraw-kings-daughters-public-library,1
library-association-rockland-county-new-city-library,2
library-association-rockland-county-pearl-river-library,2
library-association-rockland-county-tomkins-cove-public-library,2
library-association-rockland-county-valley-cottage-library,1
lily-dale-postcards,1
lisbon-central-school-yearbooks,15
liverpool-yearbook-collection,10
livpub01,842
local-history-room-map-collection,5
locust-grove-estate,9
locust-historical-collection,2
locust-valley-library,4
locustgrove,232
long-island-airfields,2
long-island-manufacturers,12
longwood-public-library,1
love-canal-images,11
madison-county-atlases,1
madrid-waddington-central-school-yearbooks-collection,15
mag-exhibition-views,1
major-william-welch-document-collection,1
manhasset-photograph-collection,1
manhasset-public-library,2
manlius-library,6
margaret-hort-trudeau-sanatorium-photograph-collection,1
margaret-woodbury-strong-papers-1897-1969,1
maria,106
maria-college,4
maria-college-occupational-therapy-department-assistive-device-collection,9
maria-college-occupational-therapy-department-assistive-device-collection,1
maris-b-pierce-papers,4
mark-twain-collection,16
marlboro,13
marlboro-free-library,6
marlboro-ny-history-collection,3
martha-blow-wadsworth-photograph-collection,3
marty-himes-racing-collection,1
mary-fowler-gaines-postcard-collection,1
mason-malone-collection,2
massapequa-library-history-collection,3
massapequa-public-library,32
massena-central-school-yearbooks-collection,43
masten-park-high-school-chronicle-yearbooks,13
mastics-moriches-shirley-community-library,6
maurice-leyden-collection,1
maverick-musicians-portraits,2
max-reinhardt-collection,3
maybrook-railroad-museum,2
mbl,4
mcgraw-historical-society,8
mdpl,10
mechanicville-district-public-library,1
mendon-public-library,11
merrick-historical-photographs,5
merrick-library,5
merrick-veterans-collection,1
mfl,2
military-memories-veterans-voices-oral-history-collection,2
militia-enrollment-scrapbook-1888-1917,1
milton-price-and-tomlin-art-co-postcard-collection,1
miner,11
miner-institute-blueprints-and-maps-collection,2
mining-collection,3
misci-museum-innovation-and-science,3
mlw,48
mmscl-maps,3
mmscl-vertical-files,2
moffat-library-washingtonville,12
mohawk-valley-boy-scouts-collection,2
montauk-historical-postcards,2
montauk-library,2
morristown-central-school-yearbooks,5
morristown-central-school-yearbooks,1
mountain-top-library-digital-collection,5
mrhs,22
mv,10
n-triple-scene,4
nathan-s-kline-institute-history-collection,2
nathan-s-kline-institute-psychiatric-research,10
national-anti-slavery-standard,8
national-freedman,2
natural-disasters-schenectady-county,2
nazareth-college-gleaner-collection,15
nccc-commencement-ceremony-programs,1
nccc-yearbooks,6
nehasane-park-photograph-collection,9
network-religious-communities,2
new-city-library-image-collection,1
new-city-library-oral-history-collection,1
new-hartford-public-library,1
new-national-era,7
new-paltz-town-records,2
new-paltz-town-records-digital-collection,1
new-rochelle-public-library,7
new-york-central-college,4
new-york-central-stations-buffalo-ny-scrapbook,3
new-york-chiropractic-college-new-york-chiropractic-college-museum,1
new-york-ordnance-works-collection,19
new-york-paris-race,3
new-york-state-military-museum-and-veterans-research-center,5
newark-area-history-and-views,1
newark-public-library,1
newark-public-library-history,1
newburgh,235
newburgh-free-library,2
newburgh-heritage-collection,3
newsletters-cary-institute-ecosystem-studies,3
ngrl,351
nhc,92
niagara-county-community-college-henrietta-g-lewis-library,2
niagara-county-community-college-yearbooks,1
niagara-county-historical-society,2
nickell-collection-dr-rv-pierce-medical-artifacts,8
nickell-snake-oil-collection,3
nioga-library-system-lockport-public-library,7
nnyg,13
nor,8
norbn,52
norman-l-woodford-md-papers,1
north-country-community-college-north-country-community-college-libraries,4
north-star,6
northport-east-northport-photograph-collection,16
northport-east-northport-postcard-collection,6
northport-east-northport-public-library,28
norwood-norfolk-central-school-yearbooks,17
nptr,141
nrpl,222
nwkpld,15
ny-ontario-western-railway-photographs,5
nyack-library,4
nyack-library-local-history-collection,2
nyack-turnpike-maps-and-documents,3
nyacklib,616
nyrud,48
nysmm,125
occc,1
oceanside-high-school-yearbooks,43
oceanside-high-school-yearbooks,2
oceanside-high-school-yearbooks,5
oceanside-high-school-yearbooks,17
oceanside-high-school-yearbooks,1
oceanside-library,1
oceanside-library-history,4
octagon-houses-collection,12
octagon-houses-collection,1
ogdensburg-city-school-district-yearbook-collection,19
old-houses-north-country,2
old-main-suny-oneonta,3
old-sand-hole-church,1
oneida-county-anti-slavery-petitions,1
oneida-public-library,9
oneida-yearbook-collection,42
oneonta-ny-railroad-memorabilia-hartwick-college,1
onondaga-community-college-yearbooks,1
onondaga-county-public-library-central-library,12
ontarian-yearbooks,1
orange-county-atlas-collection,6
orangetown,2
oswego-city-directories,8
oswego-historical-society,14
oswego-public-library,5
otsego-county-womans-christian-temperance-union-collection,2
p128401coll4,5
p15004coll9,123
p15052coll1,7
p15052coll2,16
p15052coll3,8
p15052coll4,7
p15052coll5,142
p15085coll2,9
p15085coll6,32
p15085coll7,71
p15109coll11,81
p15109coll4,4
p15109coll6,366
p15109coll7,207
p15281coll1,3
p15281coll10,148
p15281coll104,9
p15281coll12,424
p15281coll154,20
p15281coll19,251
p15281coll2,322
p15281coll20,100
p15281coll25,45
p15281coll27,128
p15281coll33,303
p15281coll37,305
p15281coll38,59
p15281coll39,990
p15281coll40,379
p15281coll56,11
p15281coll58,2
p15281coll59,46
p15281coll65,8
p15281coll66,12
p15281coll75,9
p15281coll76,144
p15281coll78,38
p15281coll8,16
p15405coll1,12
p16124coll1,77
p16124coll2,594
p16124coll3,9
p16124coll4,16
p16124coll6,14
p16124coll7,2
p16124coll8,4
p16202coll7,326
p16373coll115,40
p16373coll122,295
p16373coll123,47
