,2
city-hudson-postcards-collection,28
civil-war-carte-de-visite-collection,41
civil-war-collection,4
civil-war-letters,30
civil-war-letters-and-journal-charles-f-weller,2
clark-rice-photography-collection,8
clarkson-family-history-collection,5
clarkson-family-photographs-collection,4
clarkson-ice-carnival-photographs,11
clarkson-miscellaneous-collection,2
clarkson-university-harriet-call-burnap-memorial-library,48
clarkson-university-history-collection,10
clarkson-university-postcards-collection,5
clarksonian-yearbooks-collection,216
clarkstown-country-club,8
clifton-fine-central-school-yearbooks-collection,184
clifton-park-halfmoon-public-library,45
clinton-community-college-douglas-library,1
clinton-liberal-institute,23
cloudsplitter,4
cny-chapter-national-railway-historical-society,49
college-saint-rose-archives-map-collection,5
college-saint-rose-archives-oral-history-collection,3
college-saint-rose-archives-yearbook-collection,10
college-saint-rose-neil-hellman-library,11
colonel-elmer-e-ellsworth-collection,3
colonial-manuscripts,4
colonie-new-york-cemetery-collection,1
colton-museum-and-historical-society,12
colton-photographs,1
colton-pierrepont-central-school-yearbooks-collection,31
columbia-greene-community-college-library-media-services,48
combination-atlas-map-rockland-county-new-york,2
commercial-streets-albany-new-york,3
community-library-dewitt-jamesville,8
conglomerate-class-photos,1
convivium-collection,2
corning-community-college-arthur-houghton-jr-library,2
corning-community-college-yearbooks-collection,13
corning-flood-1972,12
corning-museum-glass-juliette-k-and-leonard-s-rakow-research-library,10
cornwall-images-and-documents,36
cornwall-public-library,17
cortland-county-historical-society,28
county-atlas-ulster-new-york,6
courthouses-rochester-new-york,2
covered-bridges-new-york-state,1
cradle-aviation-museum,357
crain-family-papers,4
cranberry-lake-yearbooks,10
crandall-public-library,20
crane-school-music,9
crawford-collection,7
crouse-health-medical-library,8
crouse-hospital-history,58
crouse-hospital-school-nursing-yearbook-collection,5
crystal-beach,38
culinary-institute-america-archives-and-special-collections,25
culinary-institute-america-menu-collection,13
cure-cottages-saranac-lake-ny,46
d2hhbGluZy,1
daniel-lamont-correspondence,2
daredevils-niagara-photos-writing-orrin-e-dunlap-collection,8
darwin-d-martin-photograph-collection,33
delaware-county-historical-association,3
delaware-county-historical-association-sherwood-collection,5
dentistry-university-rochester,3
deruyter-town-history-postcard-collection,2
dewitt-community-library-history-collection,3
digital-long-island,23
directories-network-religious-communities-nrc-and-predecessor-organizations,6
donald-s-childs-md-papers,4
dongan-charter-parade-1936-albany-new-york,9
donnan-farm-galway-ny,9
doughty-family,2
douglass-monthly,58
douglass-monthlyThe Christian Recorder,1
dowling-college-dowling-college-library IDLE HOUR BOULEVARD,1
dowling-college-dowling-college-library,6
dowling-college-postcard-collection,1
dr-daniel-roberts-collection,3
dr-david-sherwood-kellogg-journals-and-archaeological-and-historical-materials,3
dudley-observatory,16
dunham-family-collection,2
dunham-public-library,8
dutcher-family-collection,2
dutchess-community-college-dr-jerry-lee-archives,2
dutchess-community-college-francis-u-and-mary-f-ritz-library,6
dyouville-college-architecture-buildings-grounds,10
earlville-cemetery-collection,7
earlville-free-library,6
early-canastota-business-collection,5
early-canastota-collection,23
early-cooking-hudson-valley,1
early-education-hudson-valley,6
early-history-potsdam,41
early-records-sacarissa-lodge-independent-order-odd-fellows,13
east-hampton-library,16
east-meadow-collection,44
east-meadow-public-library,12
ecumenical-wind-buffalo-history-local-council-churches-buffalo-new-york-1857-1977,3
edith-b-ford-memorial-library,5
edmonds-family-album,1
edmund-blunt-topographic-map-collection,5
edwards-knox-central-school-yearbooks-collection,75
elizabeth-blackwell,13
ella-wheeler-glass-plate-negatives-collection,6
ellenville-postcard-collection,11
ellenville-public-library-museum,27
ellis-hospital-collection,23
elmira-college-gannett-tripp-library,1
elmira-college-historical-collection,1
elmira-college-women’s-rights-and-suffrage-collection,12
elon-howard-eaton-ornithology-collection,2
elting-memorial-library-haviland-heidgerd-historical-collection,32
emancipator,6
emily-howland-papers,14
empire-forester-yearbooks,17
emporium-lumber-company-photograph-collection,14
encyclopedia-union-college-history,6
endicott-area-newspapers,4
episcopal-diocese-central-new-york,1
erie-canal,2
erie-canal-museum,53
erie-canal-photograph-collection,10
erieville-nelson-heritage-society,22
erieville-nelson-historic-collection,20
erma-dewitt-photographs,11
ernie-simon-collection,23
ethelwyn-doolittle-memorabilia-hartwick-college,5
fairfield-medical-college,3
families-upstate-new-york,4
family-bible-records-schoharie-county-ny,22
farmingdale-historical-collection,62
farmingdale-public-library,12
farmingdale-state-college-thomas-d-greenley-library,29
farrington-photograph-collection,5
fay-scrapbooks,9
fayetteville-free-library,14
fayetteville-free-library-postcard-collection,5
fayetteville-manlius-yearbooks,42
fenimore-art-museum,32
ferris-meigs-logging-photograph-collection,2
finch-pruyn-and-company-maps,5
finger-lakes-community-college,7
first-hundred-years,1
fiske-boyd-collection,2
