15th-new-york-national-guard-enlistment-records,47
175th-anniversary-buffalo-erie-county-public-library,23
1825-pivotal-year-niagara-frontier,8
1909-hudson-fulton-celebration-postcards,13
1913-watervliet-flood,23
1935-federal-improvement-aerial-survey,11
1964-rochester-riot-photographs,72
19th-century-monographs-history-western-new-york,22
1st-methodist-protestant-ch-b3,1
20th-century-remains-genesee-valley-canal,24
27th-division-world-war-two,6
abby-and-will-csaplar-lake-george-collection,8
abram-lincoln-letter-collection,2
acha-postcard-collection,1
acorn-stove-trade-cards,3
adirondack-architectural-heritage,7
adirondack-experience,15
adirondack-history-center-museum-essex-county-historical-society,23
adirondack-map-collection,4
adirondack-mines-photograph-collection,9
adirondack-scenery-glass-projector-slides,6
aerial-photographs-cary-institute-ecosystem-studies,4
african-american-presence-hudson-valley,30
african-repository-and-colonial-journal,37
agnes-elliott-collection,4
agricola-and-paysonian-yearbooks,33
albany-college-pharmacy-and-health-sciences-paul-byrnes-34-archives,12
albany-county-historical-association-ten-broeck-mansion,10
albany-institute-history-and-art,12
albany-institute-history-and-art-library-digital-images,10
albany-law-school,4
albany-ny-school-yearbooks,11
albany-public-library,10
albert-leffingwell-collection,5
albert-r-stone-negative-collection,31
albert-wisner-public-library,22
albion-winegar-tourgee-collection,16
alexis-johnson-collection,5
alfred-university-herrick-library,9
alfred-university-new-york-state-college-ceramics,1
alfred-university-postcard-collection,1
allan-herschell-ride-archive,81
allen-g-tripp-md-papers,1
almquist-green-lakes-collection,15
altamont-free-library,6
Altamont-NY-History-Collection,1
altamont-ny-history-collection,49
american-and-foreign-anti-slavery-reporter,4
american-humane-association-be-kind-animals-poster-collection,21
american-legion-post-342,1
american-pomeroy-historic-genealogical-association,8
amy-jennings-family-collection,2
anna-e-wilcox-collection,1
anti-slavery-record,12
antique-boat-museum,1
appellate-division-fourth-department-law-library,5
archacki-cartoons,1
architecture-livingston-county-ny,1
archives-holland-land-company,2
art-oneida,3
arthur-b-gregg-collection,11
arthur-koweek-collection-hudson-urban-renewal,23
ashokan-reservoir-lost-profit-testimonies,1
atari-coin-op-division-corporate-records-1969-2002,15
atlas-hudson-river-valley-new-york-city-troy,13
automobile-potsdam,3
baker-cederberg-museum-and-archives-collection,1
baldwinsville-public-library,27
baldwinsville-yearbook-collection,426
barbara-parnass-slide-collection,2
