# ----------------------------------------
# All Web Site Data
# Drupal-Side Statistics with Chuck
# 20200121-20200127
# ----------------------------------------

Drupal-Side Stats (Content Group),Pageviews
(not set),"117,384"
lisbon-central-school-yearbooks,145
buffalo-ku-klux-klan-membership-list,124
st-lawrence-lewis-board-educational-services,93
cradle-aviation-museum,68
buffalo-city-directories,66
bentley-snow-crystal-collection,65
watertown-high-school-yearbooks-collection,64
baldwinsville-yearbook-collection,57
buffalo-and-erie-county-public-library,48
putnam-county-ny-history-collections,45
massapequa-public-library,44
holland-land-company-maps,42
massena-central-school-yearbooks-collection,41
clarksonian-yearbooks-collection,37
tuxedo-park-library,33
gouverneur-central-school-yearbooks-collection,31
brentwood-historical-photographs,29
nazareth-college-gleaner-collection,29
lake-view-cemetery-records,28
oneida-yearbook-collection,28
utica-free-academy-yearbooks,28
war-1812,28
levittown-history-collection,27
clifton-fine-central-school-yearbooks-collection,26
half-hollow-hills-historic-melville,26
historic-hempstead,26
rockville-centre-public-library,26
cardinal-suny-plattsburgh-college-yearbooks,25
freeport-historic-photographs,25
1964-rochester-riot-photographs,24
northport-east-northport-postcard-collection,24
port-washington-public-library,24
potsdam-central-school-yearbooks-collection,24
schenectady-county-historical-society,24
edwards-knox-central-school-yearbooks-collection,23
geneva-medical-college-1834-1871,23
heuvelton-central-school-yearbooks,23
historical-society-massapequas-collection,23
misci-museum-innovation-and-science,23
ogdensburg-city-school-district-yearbook-collection,23
pioneer-yearbooks,23
norwood-norfolk-central-school-yearbooks,22
tupper-lake-goff-nelson-memorial-library,22
hempstead-public-library,21
history-black-community-syracuse,21
new-rochelle-public-library,21
oceanside-high-school-yearbooks,21
baldwinsville-public-library,20
history-town-amherst-new-york-1818-1965,20
nccc-yearbooks,19
polster-photographs-lockport-ny,19
putnam-county-historians-office-digital-collection,19
civil-war-carte-de-visite-collection,18
historic-postcards-new-rochelle,18
historical-society-east-rockaway-and-lynbrook,18
15th-new-york-national-guard-enlistment-records,17
brentwood-public-library,17
hermon-dekalb-central-school-yearbooks-collection,17
high-school-yearbooks-chemung-county,17
old-houses-north-country,17
whitesboro-school-yearbooks,17
wivb-tv-television-news-film-and-video-archives,17
field_alpha_sort/S,16
historic-red-hook,16
holland-land-company-archives,16
huntington-town-clerks-archives,16
ilion-free-public-library,16
merrick-historical-photographs,16
newburgh-free-library,16
potsdam-normal-magazine,16
thomas-r-bayles-collection,16
arthur-koweek-collection-hudson-urban-renewal,15
canton-central-school-yearbooks-collection,15
collection_type/yearbooks,15
erie-canal-museum,15
farmingdale-historical-collection,15
field_alpha_sort/C,15
mark-twain-collection,15
port-washington-main-street-collection,15
st-lawrence-central-school-yearbooks-collection,15
bellmore-historical-photographs,14
