# ----------------------------------------
# All Web Site Data
# Drupal-Side Statistics with Chuck
# 20200401-20200430
# ----------------------------------------

Drupal-Side Stats (Content Group),Pageviews
state-university-new-york-oswego-penfield-library,31
steele-memorial-library,31
william-thompson-howell-photographs,31
albany-public-library,30
cornwall-images-and-documents,30
emporium-lumber-company-photograph-collection,30
farmingdale-state-college-thomas-d-greenley-library,30
glen-cove-public-library-photograph-collection,30
historic-rockville-centre-postcards,30
pan-american-exposition-collection,30
western-new-york-index,30
adirondack-history-center-museum-essex-county-historical-society,29
albany-institute-history-and-art-library-digital-images,29
corning-flood-1972,29
east-meadow-collection,29
field_alpha_sort/N,29
frederick-douglass-paper,29
network-religious-communities,29
nioga-library-system-niagara-falls-public-library,29
oswego-public-library,29
putnam-county-historians-office-digital-collection,29
scrimshaw-baleen-objects,29
ulster-county-historical-society,29
albany-ny-school-yearbooks,28
jeffersonian-yearbooks-collection,28
long-island-airfields,28
remsen-steuben-historical-society,28
scarsdale-high-school-yearbooks,28
scarsdale-public-library,28
westinghouse-family-papers,28
buffalo-broadcasters-association,27
christopher-collection,27
collection_type/yearbooks/field_alpha_sort/M,27
east-meadow-public-library,27
saratoga-springs-public-library,27
washingtonville-historic-postcard-collection,27
clarkson-university-harriet-call-burnap-memorial-library,26
digital-long-island,26
geneva-medical-college-1834-1871,26
huntington-historical-photographs,26
orange-county-atlas-collection,26
oswego-city-directories,26
pearl-river-ny-history-collection,26
thatcher-glass-manufacturing-company-collection,26
albany-college-pharmacy-and-health-sciences-paul-byrnes-34-archives,25
bullis-family-collection,25
garden-city-public-library,25
grems-doolittle-library-25th-anniversary,25
hicksville-public-library,25
jamestown-and-olean-ny-city-directories-1875-1916,25
je-me-souviensi-remember-presenting-and-preserving-heritage-upstate-new-yorks-franco,25
levittown-history-collection,25
liberty-high-school-yearbooks,25
mastics-moriches-shirley-community-library,25
nyh_topic/education,25
nyh_topic/military-war,25
nyh_topic/people,25
union-college-aaron-j-feingold-judaica-collection,25
utica-public-library,25
27th-division-world-war-two,24
chemung-county-historical-society,24
fayetteville-free-library,24
field_alpha_sort/A,24
greene-county-libraries-association,24
hicksville-historic-photographs,24
historic-postcards-east-rockaway-ny,24
old-main-suny-oneonta,24
suny-upstate-medical-university-health-sciences-library,24
voorheesville-public-library,24
antique-boat-museum,23
barge-canal-construction-western-division,23
collection_type/yearbooks?page=5,23
collection_type/yearbooks?page=8,23
earlville-cemetery-collection,23
general-electric-photographs,23
marlboro-ny-history-collection,23
rensselaer-county-historical-society-edgar-holloway-collection-watercolors-and-prints,23
sand-pumpings,23
thomas-r-bayles-collection,23
tuxedo-park-historic-photographs,23
175th-anniversary-buffalo-erie-county-public-library,22
collection_type/photographs,22
collection_type/yearbooks?page=7,22
dunham-public-library,22
early-canastota-collection,22
east-hampton-library,22
fairfield-medical-college,22
george-f-johnson-memorial-library,22
greenwood-lake-public-library,22
herbert-pratt-estate-collection,22
ithaca-college-yearbooks,22
new-york-central-college,22
nioga-library-system,22
nyack-high-school-yearbooks,22
patterson-historical-society-digital-collection,22
1825-pivotal-year-niagara-frontier,21
capital-district-radio-and-television-broadcasting,21
cary-institute-ecosystem-studies,21
collection_type/yearbooks?page=3,21
herschell-carrousel-factory-museum,21
historic-postcards-lynbrook-ny,21
margaret-hort-trudeau-sanatorium-photograph-collection,21
national-freedman,21
new-rochelle-public-library,21
niagara-county-community-college-yearbooks,21
republic-aviation,21
university-rochester-medical-center-edward-g-miner-library,21
brentwood-public-library,20
chester-historical-society,20
collection_type/yearbooks?page=4,20
ellenville-public-library-museum,20
elting-memorial-library-haviland-heidgerd-historical-collection,20
field_alpha_sort/C?page=7,20
field_alpha_sort/O?page=1,20
glen-letters-collection,20
historic-postcards-new-rochelle,20
lake-placid-public-library,20
mendon-public-library,20
minutes-network-religious-communities-nrc-and-predecessor-organizations,20
new-york-paris-race,20
paul-smiths-college-joan-weill-adirondack-library,20
rondout-reservoir-collection,20
st-lawrence-county-historical-association,20
chautauqua-county-historical-society,19
chester-historical-society-collection,19
field_alpha_sort/D,19
garden-city-village-archives-collection,19
gene-horton-collection,19
great-neck-library,19
hudson-river-night-boat-collection,19
levittown-public-library,19
maureen-osullivan-cushing-collection-maria-college-albany-ny,19
maxwell-memorial-library,19
mountain-top-library-digital-collection,19
nickell-snake-oil-collection,19
pictorial-history-sonnenberg,19
plattekill-ny-history-collection,19
port-washington-library-history-collection,19
waterbury-mill,19
bethpage-historical-collection,18
bob-knight-postcard-collection,18
collection_type/yearbooks?page=6,18
coretta-scott-king-collection,18
crouse-health-medical-library,18
daredevils-niagara-photos-writing-orrin-e-dunlap-collection,18
dowling-college-dowling-college-library,18
erie-canal-photograph-collection,18
erieville-nelson-historic-collection,18
field_alpha_sort/H?page=8,18
hofstra-university-hofstra-university-library,18
hospital-good-shepherd,18
hudson-fulton-celebration-1909,18
lake-placid-public-library-photograph-archive,18
long-beach-public-library,18
max-reinhardt-collection,18
merrick-library,18
strong-national-museum-play,18
village-new-york-mcgraw-history,18
yellow-fever-collection,18
adirondack-map-collection,17
camp-upton-postcards,17
collection_type/yearbooks/field_alpha_sort/P,17
college-saint-rose-archives-yearbook-collection,17
crouse-hospital-school-nursing-yearbook-collection,17
farmingdale-public-library,17
field_alpha_sort/S?page=8,17
geneva-historical-society-postcard-collection,17
greenwood-lake-public-library-scrapbooks,17
history-village-lakewood,17
local-history-room-map-collection,17
locust-historical-collection,17
Manhasset-Public-Library,17
mcgraw-historical-society,17
nazareth-college,17
new-national-era,17
new-york-central-stations-buffalo-ny-scrapbook,17
newburgh-heritage-collection,17
nioga-library-system-lockport-public-library,17
nyh_topic/daily-life,17
nyh_topic/military-war?page=2,17
oral-histories-hudson-river-commercial-fishermen,17
spencerport-high-school-yearbooks,17
st-john-fisher-college,17
tomkins-cove-ny-history-collection,17
albany-county-historical-association-ten-broeck-mansion,16
bellmore-memorial-library,16
big-flats-and-chemung-county-historical-collection,16
binghamton-university-binghamton-university-libraries,16
civil-war-collection,16
clinton-liberal-institute,16
collection_type/yearbooks/field_alpha_sort/S,16
early-records-sacarissa-lodge-independent-order-odd-fellows,16
field_alpha_sort/C?page=4,16
field_alpha_sort/F,16
field_alpha_sort/S?page=1,16
half-hollow-hills-historic-melville,16
history-center-tompkins-county,16
irvington-public-library,16
jackson-health-resort-collection,16
lily-dale-postcards,16
miscellaneous-objects,16
nccc-annual-reports,16
niagara-falls-city-directories,16
rochester-civic-garden-center,16
sacandaga-park-ny-postcard-collection,16
skaneateles-photograph-collection,16
tappan-ny-history-collection,16
albion-winegar-tourgee-collection,15
barge-canal-construction-middle-division,15
burt-loescher-collection-rogers-rangers-french-and-indian-war,15
chapter-activities-central-new-york-chapter-nrhs,15
chatham-public-library,15
collection_type/yearbooks?page=9,15
field_alpha_sort/R,15
field_alpha_sort/S?page=9,15
gayer-collection,15
glen-cove-library,15
marlboro-free-library,15
massapequa-library-history-collection,15
mohawk-valley-community-college-yearbooks,15
montauk-library,15
nanuet-ny-history-collection,15
newsletters-cary-institute-ecosystem-studies,15
niagara-county-community-college-henrietta-g-lewis-library,15
niagara-county-historical-society,15
rambler-newsletter,15
rhinebeck-historical-society,15
rochester-homeopathic-genesee-hospital-collection,15
suny-adirondack-community-college-library,15
1909-hudson-fulton-celebration-postcards,14
adirondack-mines-photograph-collection,14
almquist-green-lakes-collection,14
bard-class-photos,14
bard-tivoli-history-collection,14
bethpage-public-library,14
buffalo-olmsted-parks-postcards-stereo-views,14
businesses-albany-new-york,14
chittenango-landing-historic-photograph-collection,14
ferris-meigs-logging-photograph-collection,14
field_alpha_sort/C?page=5,14
field_alpha_sort/C?page=6,14
field_alpha_sort/S?page=10,14
field_alpha_sort/S?page=11,14
field_alpha_sort/W?page=6,14
fort-plain-free-library,14
hamilton-burr-duel-collection,14
historic-huguenot-street-photographs-and-portraits,14
ilion-urban-renewal-collection,14
leo-h-bock-lynbrook-photo-collection,14
liberty-high-school-library,14
mag-exhibition-views,14
major-william-welch-document-collection,14
maria-college,14
mohawk-valley-boy-scouts-collection,14
nyh_topic/business-industry,14
nyh_topic/geography-maps,14
octagon-houses-collection,14
pan-american-exposition-scrapbooks,14
rushton-collection,14
scarsdale-documents-collection,14
smithtown-library,14
staatsburg-library,14
summit-yearbooks-collection,14
university-buffalo-libraries-digital-collections,14
utica-college-center-historical-research,14
village-voorheesville-historical-records,14
adirondack-architectural-heritage,13
arendtiana-collection,13
atlas-hudson-river-valley-new-york-city-troy,13
calderone-theatre-collection,13
chautauqua-cattaraugus-library-system-james-prendergast-library,13
childwold-photograph-collection,13
chittenango-landing-canal-boat-museum,13
city-hudson-postcards-collection,13
civil-war-letters,13
clarkstown-country-club,13
cornwall-public-library,13
cranberry-lake-yearbooks,13
emily-howland-papers,13
field_alpha_sort/1,13
field_alpha_sort/C?page=1,13
field_alpha_sort/C?page=2,13
field_alpha_sort/C?page=8,13
field_alpha_sort/L?page=4,13
field_alpha_sort/S?page=6,13
folk-art-and-artist-collection,13
general-electric-audio-recordings,13
geneva-james-g-vail-collection,13
half-hollow-hills-community-library,13
History-Tuberculosis-Crouse-Hospital,13
irvington-ny-history-collection,13
lafayette-yearbooks,13
liberator,13
locust-valley-library,13
long-island-manufacturers,13
maybrook-railroad-museum,13
nyh_topic/ethnic-groups,13
oceanside-library-history,13
plattekill-historical-society,13
rudolf-steiner-library-anthroposophical-society,13
rudolf-steiner-library-anthroposophical-society-america,13
state-reservation-niagara,13
steinmetz-digital-collection-schenectady,13
suffern-ny-history-collection,13
thousand-islands-museum,13
tupper-lake-public-library-photograph-collection,13
ulster-county-fair-collection,13
vincent-astor-collection,13
westbury-local-history,13
wkbw-tv-television-news-film-and-video-archives,13
albert-wisner-public-library,12
bard-family-papers,12
colonial-manuscripts,12
early-cooking-hudson-valley,12
ernie-simon-collection,12
families-upstate-new-york,12
field_alpha_sort/A?page=1,12
field_alpha_sort/A?page=4,12
field_alpha_sort/B?page=1,12
field_alpha_sort/C?page=12,12
field_alpha_sort/C?page=3,12
field_alpha_sort/H?page=7,12
field_alpha_sort/O?page=2,12
field_alpha_sort/S?page=2,12
field_alpha_sort/S?page=5,12
field_alpha_sort/S?page=7,12
field_alpha_sort/U,12
field_alpha_sort/U?page=3,12
franklin-d-roosevelt-library,12
goshen-public-library-historical-society,12
hewlett-collection,12
huntingtontown-clerks-archives&from=,12
ithaca-college-library,12
kingston-new-york-world-war-ii,12
maris-b-pierce-papers,12
massena-central-school-yearbooks-collection?fbclid=IwAR1AOfAcZD2YpjHIx4plu3wJ0_1OgpOp2z6YEEZIpEqn0paZj18OCzp4yho,12
old-houses-north-country,12
red-hook-postcards,12
reminiscent-history-north-collins,12
rochester-regional-health-rochester-medical-museum-archvies,12
salina-local-history,12
skaneateles-lake-collection,12
state-university-new-york-canton-southworth-library,12
suny-brockport-stylus-collection,12
tivoli-collection,12
university-rochester-medical-center-highland-hospital,12
appellate-division-fourth-department-law-library,11
buffalo-municipal-housing-authority-report-maps,11
catskill-public-library-digital-collection,11
collection_type/yearbooks?page=10,11
crane-school-music,11
dudley-observatory,11
early-education-hudson-valley,11
encyclopedia-union-college-history,11
erieville-nelson-heritage-society,11
field_alpha_sort/B?page=10,11
field_alpha_sort/C?page=11,11
field_alpha_sort/G?page=3,11
field_alpha_sort/H?page=1,11
field_alpha_sort/H?page=3,11
field_alpha_sort/N?page=8,11
field_alpha_sort/O?page=3,11
gar-wood-collection,11
geneva-public-library-digital-collection,11
guilderland-central-school-district-collection,11
hudson-valley-community-college,11
huntington-archives,11
huntington-legal-manuscripts,11
huntington-memorial-library,11
ilion-free-public-library,11
jewish-buffalo-image-collection,11
john-scott-postcard-collection,11
ken-spooner-collection,11
mabel-addis-oral-history-collection,11
milton-price-and-tomlin-art-co-postcard-collection,11
nccc-yearbooks,11
new-york-state-womens-suffrage-exhibition-collection,11
north-star,11
northport-east-northport-photograph-collection,11
nyh_topic/education/collection_type/yearbooks,11
olin-dows-collection,11
potsdam-normal-school-collection,11
raquette-river-dams-oral-history-project,11
robert-e-hager-canal-boat-diagrams,11
sally-ploof-hunter-memorial-library,11
saranac-inn-photograph-collection,11
solvay-geddes-historical-society,11
somers-circus-collection,11
somers-local-history-collection,11
vassar-brothers-medical-center-history,11
victor-hammer-collection,11
washingtonville-historic-photograph-collection,11
18th-and-19th-century-cooking-hudson-valley,10
african-repository-and-colonial-journal,10
alfred-university-postcard-collection,10
american-and-foreign-anti-slavery-reporter,10
bard-student-fire-department,10
big-flats-historical-society-and-museum,10
buffalo-museum-science,10
clarkson-family-history-collection,10
dr-daniel-roberts-collection,10
emancipator,10
endicott-area-newspapers,10
field_alpha_sort/A?page=2,10
field_alpha_sort/B?page=2,10
field_alpha_sort/E?page=6,10
field_alpha_sort/H?page=2,10
field_alpha_sort/H?page=4,10
field_alpha_sort/L?page=1,10
field_alpha_sort/L?page=5,10
field_alpha_sort/T,10
genesee-community-college-history,10
gold-coast-historic-photographs,10
hermon-dekalb-central-school-yearbooks-collection?fbclid=IwAR2Vt2E5tYdC_0QJn9iNjfegJkTpXFct6AUluOj4Nd6huASqPpZhlSen8UI,10
joseph-h-treyz-collection-civil-war-patriotic-envelopes,10
kay-flickinger-dockstader-papers-1910-1995,10
kingston-new-york-world-war-i,10
la-bella-america-old-country-north-country,10
lake-placid-north-elba-historical-society,10
mag-events,10
martha-blow-wadsworth-photograph-collection,10
mathias-oppersdorff-adirondack-faces-photograph-collection,10
middleburgh-library,10
natural-disasters-schenectady-county,10
new-hartford-public-library,10
nyh_topic/military-war?page=1,10
orange-county-community-college-library,10
otsego-lake-historical-collection,10
plattsburgh-normal-school,10
reid-gallery-prominent-citizens-rome-new-york,10
rockville-centre-library-history,10
scarsdale-photographs-and-slides,10
skaneateles-historical-society,10
somers-wright-reis-collection,10
stedman-and-moses-collection-glass-plate-negatives,10
suny-geneseo,10
suny-new-paltz-sojourner-truth-library,10
wilderstein-historic-site,10
bayles-pamphlets,9
brentwood-historical-collection,9
brentwood-postcards,9
bryant-library,9
chatham-school-photographs-1890-1940,9
collection_type/photographs?page=1,9
community-library-dewitt-jamesville,9
dutchess-community-college-francis-u-and-mary-f-ritz-library,9
dyouville-college-montante-family-library,9
fayetteville-free-library-postcard-collection,9
field_alpha_sort/I,9
field_alpha_sort/M?page=1,9
field_alpha_sort/W?page=7,9
grove-sheldon-gilbert-portraits,9
jefferson-community-college-jefferson-community-college-library,9
john-champney-photograph-collection,9
joseph-scala-collection,9
library-association-rockland-county-new-city-library,9
library-association-rockland-county-valley-cottage-library,9
mag-images,9
marty-himes-racing-collection,9
mining-collection,9
nathan-s-kline-institute-psychiatric-research,9
north-country-community-college-north-country-community-college-libraries,9
ogdensburg-public-library,9
phillip-winchester-collection,9
rochester-genealogical-society,9
rochester-homeopathic-genesee-hospital-school-nursing-collection,9
schuylerville-public-library,9
state-university-new-yorkoneonta-james-m-milne-library,9
syracuse-university-college-law-law-library,9
time_period/1930,9
tri-village-area-directories,9
tromptown-historical-society,9
tuxedo-park-national-register-historic-places-inventory,9
tuxedo-park-photo-albums,9
utica-zoo-collection,9
walter-t-shirley-collection,9
west-monroe-historical-society,9
wpa-fine-arts-projects-rochester,9
1913-watervliet-flood,8
altamont-free-library,8
arthur-b-gregg-collection,8
bard-college-presidents,8
buffalo-niagara-heritage-village,8
canisius-college-andrew-l-bouwhuis-library,8
clarkson-university-history-collection,8
collection_type/yearbooks/field_alpha_sort/C,8
collection_type/yearbooks/field_alpha_sort/O,8
collection_type/yearbooks/field_alpha_sort/W,8
corning-museum-glass-juliette-k-and-leonard-s-rakow-research-library,8
elon-howard-eaton-ornithology-collection,8
erma-dewitt-photographs,8
field_alpha_sort/A?page=3,8
field_alpha_sort/B?page=9,8
field_alpha_sort/D?page=1,8
field_alpha_sort/E?page=1,8
field_alpha_sort/H?page=6,8
field_alpha_sort/M?page=4,8
field_alpha_sort/N?page=6,8
field_alpha_sort/O?page=4,8
field_alpha_sort/P/collection_type/yearbooks,8
field_alpha_sort/S?page=12,8
field_alpha_sort/W?page=2,8
finch-pruyn-and-company-maps,8
forest-lawn-cemetery-margaret-l-wendt-archive-and-resource-center,8
franklin-county-historical-and-museum-society,8
gold-coast-public-library,8
gordon-muck-collection,8
hartwick-seminary-records-hartwick-college,8
haviland-heidgerd-historical-collection-images-and-documents,8
highland-hospital-1940-1949-school-nursing-during-world-war-ii,8
historic-postcards-ulster-county,8
hurricane-sandy-collection,8
industries-old-new-hartford-collection,8
joseph-jacques-ramée-architectural-plans-union-college,8
longwood-historic-photographs,8
nyh_topic/military-war?page=3,8
onondaga-community-college-coulter-library,8
palisades-ny-history-collection,8
photographs-mary-flagler-cary,8
postcards-syracuse-and-central-new-york,8
proceedings-rochester-academy-science,8
rochester-city-general-hospital-school-nursing-collection,8
rochester-museum-science-center,8
roosevelts-visit-syracuse,8
samuel-dorsky-museum-art-collection,8
saranac-lake-free-library,8
schenectady-county-historical-society?mc_cid=150b84eb47&mc_eid=ed9f79eed4,8
state-university-new-york-potsdam-college-libraries,8
time_period/1890,8
time_period/1970,8
utica-church-and-synagogue-collection,8
vassar-brothers-hospital-school-nursing,8
virginia-marshall-martus-collection,8
wells-college-louis-jefferson-long-library,8
william-k-sanford-town-library,8
ws-teator-glass-plate-negative-collection,8
1935-federal-improvement-aerial-survey,7
acorn-stove-trade-cards,7
atari-coin-op-division-corporate-records-1969-2002,7
bayport-fire-department,7
canastota-public-library,7
collection_type/yearbooks/field_alpha_sort/L,7
college-saint-rose-neil-hellman-library,7
colton-museum-and-historical-society,7
early-canastota-business-collection,7
elmira-college-gannett-tripp-library,7
elmira-college-women’s-rights-and-suffrage-collection,7
erie-canal,7
field_alpha_sort/A?page=5,7
field_alpha_sort/B?page=11,7
field_alpha_sort/E?page=2,7
field_alpha_sort/E?page=5,7
field_alpha_sort/G?page=4,7
field_alpha_sort/G?page=5,7
field_alpha_sort/H?page=12,7
field_alpha_sort/H?page=5,7
field_alpha_sort/H?page=9,7
field_alpha_sort/I?page=1,7
field_alpha_sort/L?page=3,7
field_alpha_sort/N?page=9,7
field_alpha_sort/S?page=4,7
field_alpha_sort/T?page=1,7
field_alpha_sort/W?page=1,7
general-electric-historical-documents,7
heermance-memorial-library-digital-collection,7
henry-uihlein-scrapbook,7
hicksville-yearbook-collection,7
jericho-public-library,7
john-b-jervis-drawings,7
keene-valley-library,7
kingston-ibm-years,7
lake-view-cemetery-records?fbclid=IwAR1ZLqHvzY_waJ7KFe57dpclVgXtSXbyTgW2lfHVH_pKC0Ll4WD7eLclthg,7
library-association-rockland-county-haverstraw-kings-daughters-public-library,7
library-association-rockland-county-pearl-river-library,7
library-association-rockland-county-suffern-free-library,7
long-beach-high-school-yearbooks-1925-1977,7
long-island-historic-postcard-collection,7
lumber-camp-mission-slide-collection,7
mag-artifacts-and-memorabilia,7
main-street-businesses-middleburgh-new-york,7
murder-pamphlet-collection,7
nathan-s-kline-institute-history-collection,7
nyh_topic/architecture,7
nyh_topic/military-war?page=5,7
nyh_topic/military-war?page=6,7
nyh_topic/military-war?page=7,7
nyh_topic/military-war?page=8,7
nyh_topic/transportation,7
oneonta-city-directories,7
orangetown-historical-museum-archives,7
peter-aaron-collection,7
polish-community-syracuse-ny,7
rhinebeck-images-and-documents,7
robert-joki-stereoscopic-collection-saratoga-springs-ny,7
sage-colleges,7
six-nations-territory-collection,7
smith-and-telfer-photographic-collection,7
st-josephs-academy-yearbooks-collection,7
staatsburg-library-ccc-collection,7
time_period/1900,7
time_period/1940,7
time_period/1960,7
time_period/1980,7
town-henrietta,7
us-army-52nd-general-hospital-collection,7
