,4
15th-new-york-national-guard-enlistment-records,40
175th-anniversary-buffalo-erie-county-public-library,22
1825-pivotal-year-niagara-frontier,21
18th-and-19th-century-cooking-hudson-valley,10
1909-hudson-fulton-celebration-postcards,14
1913-watervliet-flood,8
1935-federal-improvement-aerial-survey,7
1964-rochester-riot-photographs,59
19th-century-monographs-history-western-new-york,40
1st-methodist-protestant-chb4,1
20th-century-remains-genesee-valley-canal,51
27th-division-world-war-two,24
abby-and-will-csaplar-lake-george-collection,1
abram-lincoln-letter-collection,4
acha-postcard-collection,4
acorn-stove-trade-cards,7
adirondack-architectural-heritage,13
adirondack-experience,62
adirondack-history-center-museum-essex-county-historical-society,29
adirondack-map-collection,17
adirondack-mines-photograph-collection,14
adirondack-scenery-glass-projector-slides,4
adirondack-scenic-photograph-collection,6
african-american-presence-hudson-valley,36
african-repository-and-colonial-journal,10
agnes-elliott-collection,2
agricola-and-paysonian-yearbooks,61
albany-college-pharmacy-and-health-sciences-paul-byrnes-34-archives,25
albany-county-historical-association-ten-broeck-mansion,16
albany-institute-history-and-art,33
albany-institute-history-and-art-library-digital-images,29
albany-law-school,2
albany-law-school-alumni,5
albany-law-school-architecture-collection,4
albany-law-school-collection,3
albany-ny-school-yearbooks,28
albany-public-library,30
albert-leffingwell-collection,1
albert-r-stone-negative-collection,39
albert-wisner-public-library,12
albion-winegar-tourgee-collection,15
alexis-johnson-collection,5
alfred-university-herrick-library,5
alfred-university-new-york-state-college-ceramics,6
alfred-university-postcard-collection,10
allan-herschell-ride-archive,69
allen-g-tripp-md-papers,2
almquist-green-lakes-collection,22
altamont-free-library,8
altamont-ny-history-collection,3
alumni-news-and-postscript,3
american-and-foreign-anti-slavery-reporter,10
american-humane-association-be-kind-animals-poster-collection,6
american-legion-post-342,1
american-pomeroy-historic-genealogical-association,3
amy-jennings-family-collection,1
anna-e-wilcox-collection,1
antique-boat-museum,23
appellate-division-fourth-department-law-library,11
archacki-cartoons,4
architecture-livingston-county-ny,6
archives-holland-land-company,4
arendtiana-collection,13
art-and-artifacts,2
art-oneida,4
arthur-b-gregg-collection,8
arthur-koweek-collection-hudson-urban-renewal,37
atari-coin-op-division-corporate-records-1969-2002,7
atlas-hudson-river-valley-new-york-city-troy,13
baldwinsville-public-library,69
baldwinsville-yearbook-collection,411
barbara-parnass-slide-collection,1
bard-class-photos,14
bard-college-architecture-past-and-present,5
bard-college-archives-and-special-collections,52
bard-college-presidents,8
bard-college-radio-wxbc,4
bard-family-papers,12
bard-student-fire-department,10
bard-tivoli-history-collection,14
barge-canal-construction-middle-division,15
barge-canal-construction-western-division,31
battenkill-inspired,2
bayles-pamphlets,9
bayport-blue-point-historic-postcards,61
bayport-bluepoint-public-library,38
bayport-fire-department,7
bayport-yearbooks,125
bayport-­‐blue-­‐point-­‐historic-­‐postcards,5
bayport-­‐bluepoint-­‐public-­‐library,4
beauchamp-branch-photodocumentation-project-1994,1
bellmore-historical-association-bellmore-memorial-library,2
bellmore-historical-photographs,92
bellmore-memorial-library,16
bellmore-postcards,2
belva-lockwood-manuscript-collection,5
ben-gilman-photographs,1
bentley-snow-crystal-collection,59
best-threads-fashions-warwick-new-york-circa-1900,2
bethlehem-public-library,48
bethpage-historical-collection,18
bethpage-public-library,14
big-flats-and-chemung-county-historical-collection,16
big-flats-historical-society-and-museum,10
big-flats-historical-society-calendars-and-publications,6
binary-visions-19th-century-woven-coverlets,1
binghamton-university-binghamton-university-libraries,16
black-oral-history-collection-chemung-county,3
blue-point-fire-department-collection,4
bmlvZ2EtbG,6
bob-knight-postcard-collection,36
books-and-articles-collection,2
bowers-collection,2
boy-scouts-america-troop-73-voorheesville-new-york-collection,4
bradford-h-divine-hunting-camp-slides-collection,5
brasher-postcards,5
brentwood-historical,1
brentwood-historical-collection,9
brentwood-historical-photograph,1
brentwood-historical-photographs h,2
brentwood-historical-photographs,99
