,4
brentwood-pen-and-ink-drawings,4
brentwood-postcards,9
brentwood-public-library,24
brockway-motor-trucks-collection,35
broome-county-public-library,2
bryant-historic-postcards,45
bryant-library,9
buffalo-address-book-and-family-directory,152
buffalo-and-erie-county-public-library,264
buffalo-broadcasters-association,27
buffalo-central-terminal-scrapbook,4
buffalo-city-directories,531
buffalo-history-museum,44
buffalo-ku-klux-klan-membership-list,272
buffalo-municipal-housing-authority-report-maps,11
buffalo-museum-science,10
buffalo-niagara-heritage-village,8
buffalo-olmsted-parks-conservancy,6
buffalo-olmsted-parks-postcards-stereo-views,14
buffalo-photograph-collection-lantern-slides-circa-1890-1910,55
buffalo-postcards,95
buffalo-public-school-library-system,3
building-franklin-d-roosevelt-presidential-library,3
bullis-family-collection,25
burnap-collection-english-pottery-and-porcelain,1
burt-loescher-collection-rogers-rangers-french-and-indian-war,15
businesses-albany-new-york,14
butler-family-papers,4
calderone-theatre-collection,13
caldwell-family-collection,2
calvin-coolidge-paul-smiths,1
camp-mills-photographs,86
camp-russell-boy-scouts-collection,6
camp-syracuse,32
camp-upton-postcards,19
canal-society-new-york-state,96
canastota-public-library,7
canastota-schools-collection,2
canisius-college-andrew-l-bouwhuis-library,8
canisius-college-church-records,3
canisius-college-coaches-and-sports,6
canisius-college-presidents,4
canton-central-school-yearbooks-collection,383
capital-district-library-council,4
capital-district-library-council-albany-ny,2
capital-district-radio-and-television-broadcasting,21
cardinal-suny-plattsburgh-college-yearbooks,121
carl-schmidt-collection-two-dimensional-drawings,6
carrie-jones-family-collection,5
cary-institute-ecosystem-studies,21
catskill-public-library-digital-collection,11
cazenovia-college-witherill-library,5
center-inquiry-center-inquiry-libraries,6
center-photography-woodstock-collection,3
central-new-york-canal-collection,1
central-new-york-library-resources-council,4
central-square-oral-history-collection,5
champlain-canal-collection,1
chapter-activities-central-new-york-chapter-nrhs,15
charles-rand-penney-trail,3
charles-sylvester-piersaull-photographs,3
charles-w-lanning-md-papers,1
chatham-public-library,15
chatham-public-library-yearbook-collection,4
chatham-school-photographs-1890-1940,9
chautauqua-cattaraugus-library-system,6
chautauqua-cattaraugus-library-system-james-prendergast-library,13
chautauqua-cattaraugus-library-system-lakewood-memorial-library,2
chautauqua-cattaraugus-library-system-olean-public-library,5
chautauqua-county-historical-society,19
chemung-county-atlases,2
Chemung-County-Historical-Society,2
chemung-county-historical-society,24
chester-historical-society,20
chester-historical-society-collection,19
childrens-miracle-network,7
childwold-photograph-collection,13
chittenango-landing-canal-boat-museum,13
chittenango-landing-historic-photograph-collection,14
christine-ladd-franklin-diary,3
christopher-collection,27
church-buildings,3
city-hudson-postcards-collection,13
civil-war-carte-de-visite-collection,80
civil-war-collection,16
civil-war-letters,13
civil-war-letters-and-journal-charles-f-weller,1
clark-rice-photography-collection,4
clarke-family-business-papers,3
clarke-family-correspondence,1
clarkson-family-history-collection,10
clarkson-miscellaneous-collection,1
clarkson-university-harriet-call-burnap-memorial-library,26
clarkson-university-history-collection,8
clarkson-university-postcards-collection,4
clarksonian-yearbooks-collection,152
clarkstown-country-club,13
clifton-fine-central-school-yearbooks-collection,257
clifton-park-halfmoon-public-library,67
clinton-community-college-douglas-library,2
clinton-liberal-institute,16
cloudsplitter,5
clrc-archives,2
cny-chapter-national-railway-historical-society,39
collection_type/yearbooks,2
college-medicine-class-photographs,1
college-saint-rose-archives-map-collection,1
college-saint-rose-archives-yearbook-collection,17
college-saint-rose-neil-hellman-library,7
colonial-manuscripts,12
colonie-new-york-cemetery-collection,5
colton-museum-and-historical-society,7
colton-photographs,4
colton-pierrepont-central-school-yearbooks-collection,270
columbia-greene-community-college-library-media-services,5
combination-atlas-map-rockland-county-new-york,1
commencement,3
commercial-streets-albany-new-york,6
community-library-dewitt-jamesville,9
conglomerate-class-photos,5
convivium-collection,1
Coretta-Scott-King-Collection,1
coretta-scott-king-collection,18
corning-community-college-arthur-houghton-jr-library,1
corning-community-college-yearbooks-collection,6
corning-flood-1972,29
corning-museum-glass-juliette-k-and-leonard-s-rakow-research-library,8
cornwall-images-and-documents,30
cornwall-memories-oral-history-collection,3
cornwall-public-library,13
cortland-county-historical-society,74
county-atlas-ulster-new-york,6
courthouses-rochester-new-york,2
covered-bridges-new-york-state,3
cradle-aviation-museum,300
cranberry-lake-yearbooks,13
crandall-public-library,59
crane-school-music,11
crawford-collection,5
crouse-health-medical-library,18
crouse-hospital-history,51
crouse-hospital-school-nursing-yearbook-collection,17
crystal-beach,39
culinary-institute-america-archives-and-special-collections,46
culinary-institute-america-menu-collection,55
cure-cottages-saranac-lake-ny,39
daemen-college-daemen-college-library,2
daniel-dumych-collection,5
daredevils-niagara-photos-writing-orrin-e-dunlap-collection,18
darwin-d-martin-photograph-collection,34
delaware-county-historical-association,3
deruyter-town-history-postcard-collection,6
dewitt-community-library-history-collection,4
digital-long-island,27
directories-network-religious-communities-nrc-and-predecessor-organizations,1
doll-collection,82
dongan-charter-parade-1936-albany-new-york,3
donnan-farm-galway-ny,5
doughty-family,5
douglass-monthly,52
dowling-college-dowling-college-library,18
dowling-college-postcard-collection,4
dr-austin-flint-collection,1
dr-daniel-roberts-collection,10
drama-and-dance-department-collection,4
dudley-observatory,11
dudley-observatory-historical-archives,4
dunham-family-collection,1
dunham-public-library,22
dutcher-family-collection,3
dutchess-community-college-francis-u-and-mary-f-ritz-library,9
dutchess-community-college-history-collection,2
dyouville-college-architecture-buildings-grounds,40
dyouville-college-montante-family-library,10
earlville-cemetery-collection,23
earlville-free-library,5
early-canastota-business-collection,7
early-canastota-collection,22
early-cooking-hudson-valley,13
early-education-hudson-valley,11
early-history-potsdam,38
early-records-sacarissa-lodge-independent-order-odd-fellows,16
east-end-historic-district-inventory-photographs,61
east-hampton-library,22
east-meadow-collection,29
east-meadow-public-library,27
ecumenical-wind-buffalo-history-local-council-churches-buffalo-new-york-1857-1977,3
edith-b-ford-memorial-library,6
edmund-blunt-topographic-map-collection,3
edward-m-ruttenber-collection,5
edwards-knox-central-school-yearbooks-collection,215
elie-shneour-collection,5
elizabeth-blackwell,3
elizabeth-blackwell.,2
elizabeth-ryan-collection,3
ella-wheeler-glass-plate-negatives-collection,3
ellenville-postcard-collection,5
ellenville-public-library-museum,20
ellis-hospital-collection,32
elmira-college-gannett-tripp-library,7
elmira-college-historical-collection,2
elmira-college-women’s-rights-and-suffrage-collection,7
elon-howard-eaton-ornithology-collection,8
elting-memorial-library-haviland-heidgerd-historical-collection,20
emancipator,10
emily-howland-papers,13
empire-forester-yearbooks,57
emporium-lumber-company-photograph-collection,30
encyclopedia-union-college-history,11
endicott-area-newspapers,10
Endicott-area-Photographs-Postcards,1
endicott-area-photographs-postcards,4
episcopal-diocese-central-new-york,1
eric-lindsay-memorial-postcard-collection,2
erie-canal,7
erie-canal-museum,78
erie-canal-photograph-collection,18
erie-community-college-erie-community-college-library-north-campus,1
erieville-nelson-heritage-society,11
erieville-nelson-historic-collection,18
erma-dewitt-photographs,8
ernie-simon-collection,12
fairfield-medical-college,22
families-upstate-new-york,12
family,3
family-bible-records-schoharie-county-ny,4
family,3
farmingdale-historical-collection,89
farmingdale-public-library,17
farmingdale-state-college-thomas-d-greenley-library,30
fay-scrapbooks,1
fayetteville-free-library,24
fayetteville-free-library-postcard-collection,9
fayetteville-free-library,10
fayetteville-manlius-yearbooks,85
fenimore-art-museum,51
ferris-meigs-logging-photograph-collection,14
field_alpha_sort/H,0
finch-pruyn-and-company-maps,8
finger-lakes-community-college,1
first-hundred-years,1
fiske-boyd-collection,2
fletcher-steele-collection,6
fletcher-steele-nursery-orders,1
Flood-1972-Genesee-River-in-Letchworth-State-Park,2
Flood-1972-Genesee-River-Letchworth-State-Park,1
flood-1972-genesee-river-letchworth-state-park,78
floods-chemung-county,4
floral-fete-collection,5
folk-art-and-artist-collection,13
forest-lawn-cemetery-margaret-l-wendt-archive-and-resource-center,8
fort-orange-collection,1
fort-plain-free-library,14
fort-plain-street-fair,1
frances-folsom-cleveland-collection,1
francis-m-and-henry-h-stone-collection,2
frank-estabrook-collection,4
frankfort-boy-scouts-collection,1
franklin-county-historical-and-museum-society,8
franklin-d-roosevelt-library,12
franklin-d-roosevelts-family-history-hudson-valley,4
fred-r-wolcott-photographic-collection,3
fred-walster-diary,2
frederick-douglass-paper,29
frederick-lawrence-pomeroy-collection,1
freeport-high-school-yearbooks-and-commencement-programs,68
freeport-historic-photographs,137
freeport-memorial-library,72
freeport-memorial-library-board-minutes,1
freeport-music-scores-playbills-programs,2
friends-historic-kingston,62
fulton-chain-lakes-photograph-collection,5
fulton-montgomery-community-college,3
galway-public-library,3
gar-wood-collection,11
garden-city-general-collection,5
garden-city-public-library,25
garden-city-village-archives-collection,19
gayer-collection,15
ge-research-lab-photographs,36
gene-horton-collection,19
genealogy/digital.asp,2
general-collection,6
general-electric-audio-recordings,13
general-electric-historical-documents,7
general-electric-photographs,23
genesee-community-college-alfred-c-oconnell-library,3
genesee-community-college-history,10
genesee-valley-hunt,1
genesee-valley-town-and-country-collection,3
geneva-civil-war-collection,3
geneva-historical-society,55
geneva-historical-society-postcard-collection,17
geneva-james-g-vail-collection,13
geneva-medical-college-1834-1871,26
geneva-ny-city-directories,72
geneva-public-library,56
geneva-public-library-digital-collection,11
george-f-johnson-memorial-library,22
george-marshall-family-photograph-collection,4
george-nathan-newman-collection-photographs-vanished-and-vanishing-buffalo,35
george-nathan-newman-collection-photographs-vanishing-buffalo,2
george-springsteen-photograph-collection,6
george-w-fenner-world-war-i-photographs-syracuse-ny-1918,6
george-whitfield-butts-photograph-collection,3
gill-room-postcard-collection-greenwich-ny,3
glass-workers-oral-histories,1
glen-cove-historic-postcards,6
glen-cove-library,15
glen-cove-public-library-photograph-collection,30
glen-letters-collection,20
glens-falls-feeder-canal,6
glens-falls-hometown-usa,37
gold-coast-historic-photographs,10
gold-coast-historic-postcards,1
gold-coast-historical-collection,1
gold-coast-public-library,8
golden-age-st-lawrence,2
golden-hill-school-collection,5
gordon-muck-collection,8
goshen-ny-postcards,4
goshen-public-library-historical-society,12
gouverneur-central-school-yearbooks-collection,428
grace-cogswell-photograph-collection,5
great-neck-historic-postcards,6
great-neck-library,19
great-neck-photographs-collection,38
greater-oneonta-historical-society,4
greene-county-libraries-association,24
greenwich-free-library,6
greenwood-lake-public-library,22
greenwood-lake-public-library-obituary-files,5
greenwood-lake-public-library-scrapbooks,17
greeting-cards,2
grems-doolittle-library-25th-anniversary,25
gridiron-yearbooks,103
grove-sheldon-gilbert-portraits,9
grumman,33
guilderland-central-school-district-collection,11
guilderland-historical-society-collection,5
guilderland-photographs,3
guilderland-public-library,61
half-hollow-hills-community-library,13
half-hollow-hills-historic-melville,16
half-hollow-hills-library-history,4
halleran-family-collection,2
hamilton-burr-duel-collection,14
hamilton-public-library,5
hammond-central-school-yearbooks,39
hanmer-boatshop-photograph-collection,2
hardy-family-photographs,2
harriet-martin-dey-photograph-collection,2
harrisville-central-school-yearbooks,129
harry-bruno-collection,4
hartwick-college-records-hartwick-college,2
hartwick-college-stevens-german-library,5
hartwick-seminary-records-hartwick-college,8
harvey-fite-collection,6
harvey-ginsberg-postcard-collection,1
hasbroucks-locust-lawn,1
haverstraw-ny-history-collection,47
haviland-heidgerd-historical-collection-images-and-documents,8
heermance-memorial-library-digital-collection,7
hempstead-public-library,60
henrietta-public-library,2
henry-page-historical-files,2
henry-uihlein-scrapbook,7
herbert-pratt-estate-collection,22
hermon-dekalb-central-school-yearbooks-collection,476
herschell-carrousel-factory-museum,21
heuvelton-central-school-yearbooks,329
hewlethigh-school,1
hewlett-collection,12
hewlett-jones-collection,1
hicksville-historic-photographs,24
hicksville-public-library,25
hicksville-yearbook-collection,7
high-falls-club-photograph-collection,3
high-school-yearbooks-chemung-county,201
highland-hospital-1889-1940,3
highland-hospital-1940-1949-school-nursing-during-world-war-ii,8
highland-hospital-school-nursing-scrapbooks,5
hilbert-college-mcgrath-library,3
hiram-s-wilson-civil-war-letters,5
historic-bayport-snapshots-time,3
historic-hempstead,139
Historic-Huguenot-Street,1
historic-huguenot-street,127
historic-huguenot-street-photographs-and-portraits,14
historic-huguenot-street,1
historic-ithaca,3
historic-paintings-james-prendergast-library,3
historic-photographs-new-rochelle,34
historic-postcards-east-rockaway-ny,24
historic-postcards-lynbrook-ny,25
historic-postcards-new-rochelle,20
historic-postcards-sardinia-ny,3
historic-postcards-ulster-county,8
historic-red-hook,61
historic-rockville-centre-postcards,30
historic-rockville-centre-telephone-directories,2
historic-views-forest-lawn,1
historical-maps-ithaca-and-tompkins-county,43
historical-photographs-east-rockaway,31
historical-photographs-lynbrook,62
historical-society-east-rockaway-and-lynbrook,75
historical-society-massapequas-collection,49
historical-society-rockland-county,69
historical-society-town-chester,2
history-black-community-syracuse,39
history-canisius-college,5
history-center-tompkins-county,23
history-crandall-public-library,2
history-moffat-library,2
history-town-amherst-new-york-1818-1965,112
History-Tuberculosis-Crouse-Hospital,13
history-tuberculosis-crouse-hospital,70
history-village-lakewood,17
history-waterville-collection,31
hobart-and-william-smith-colleges,6
hofstra-buildings-collection,2
hofstra-estate-collection,2
hofstra-university-hofstra-university-library,18
holland-land-company-archives,73
holland-land-company-maps,325
holland-patent-free-library,5
holy-family-high-school-yearbooks,55
holy-trinity-seminary,1
homelands-exhibition,80
honeoye-falls-lima-yearbook-collection,104
horne-collection,3
horse-thieves-collection,1
horton-and-morrison-family-collection,6
hospital-good-shepherd,18
houghton-college-willard-j-houghton-library,5
hudson-8000-years-native-american-history-and-culture,52
hudson-area-library,39
hudson-fulton-celebration-1909,18
hudson-fulton-celebration-1909-0,1
hudson-river-day-line-collection,42
hudson-river-maritime-museum,48
hudson-river-night-boat-collection,19
hudson-river-valley-institute,39
hudson-river-voyage-c1937-39,2
hudson-valley-community-college,11
hudson-valley-technical-institute-1953-1958,4
hudson-valley-visual-art-collections-consortium,4
huntington-archives,11
huntington-deeds,5
huntington-documents,3
huntington-historical-maps,121
huntington-historical-photographs,26
huntington-legal-manuscripts,11
huntington-memorial-library,11
huntington-political-cartoons,1
huntington-postcard-collection,4
huntington-public-library,32
huntington-scrapbook,2
Huntington-Town-Clerks-Archives,1
huntington-town-clerks-archives,85
huntington-war-manuscripts,2
huntingtontown-clerks-archives,14
hurricane-sandy-collection,8
hyde-hall,3
ilion-free-public-library,12
ilion-urban-renewal-collection,14
ilions-era-progression-and-improvement,3
images-early-vassar,2
images-kingston-new-york,42
images-rockland-county,50
industries-old-new-hartford-collection,8
ingraham-p-smith-collection,2
international-motor-racing-research-center,1
irvington-ny-history-collection,13
irvington-public-library,16
ithaca-college-history-project,1
ithaca-college-library,12
ithaca-college-photographs,6
ithaca-college-yearbooks,22
ithaca-tax-assessment-photographs,2
j-n-adam-memorial-hospital,36
jackson-health-resort-collection,16
james-b-preston-md-collection,3
james-e-horton-collection,6
james-milne-suny-oneonta,2
jamestown-and-olean-ny-city-directories-1875-1916,25
jane-secor-collection,2
je-me-souviensi-remember-presenting-and-preserving-heritage-upstate-new-yorks-franco,26
jefferson-community-college-jefferson-community-college-library,9
jeffersonian-yearbooks-collection,29
jennie-curtis-cannon-collection,4
jericho-historical-collection,5
jericho-public-library,7
jervis-public-library,5
jesswin-camp-photograph-collection,1
jewish-buffalo-image-collection,11
john-b-jervis-drawings,7
john-burroughs-postcard-collection,3
john-champney-photograph-collection,9
john-j-burger-railroad-collection,2
john-mcconihe-collection,2
john-s-apperson-jr-and-paul-schaefer-collections,5
john-scott-postcard-collection,11
jones-collection,3
joseph-h-treyz-collection-civil-war-patriotic-envelopes,10
joseph-jacques-ramee-architectural-plans-union-college,2
joseph-jacques-ramée-architectural-plans-union-college,8
joseph-scala-collection,9
judicial-portrait-collection,6
julia-lawrence-hasbrouck-collection,1
junior-league-buffalo,4
justus-f-mueller-phd-papers,5
katherine-deyo-cookingham-downer-collection,1
kay-flickinger-dockstader-papers-1910-1995,10
keene-historic-photographs,5
keene-valley-library,7
keitha-kellogg-petersen,2
ken-spooner-collection,11
kenneth-r-dorn-regional-history-study-center-david-f-nestle-memorial-collection,2
kent-historical-society-digital-collection,31
keuka-college-lightner-library,1
kingston-ibm-years,7
kingston-new-york-world-war-i,10
kingston-new-york-world-war-ii,12
kirkland-town-library-art-collection,1
knight-collection,4
knox-memorial central school/yearbooks,1
l-jameson-glass-plate-negative-collection,5
la-bella-america-old-country-north-country,10
lafayette-public-library,6
lafayette-yearbooks,13
lake-placid-north-elba-historical-society,10
lake-placid-olympic-museum,1
lake-placid-public-library,20
lake-placid-public-library-photograph-archive,23
lake-view-cemetery-records,280
lantern-slides-palisades-interstate-park-commission,6
laura-abigail-gosline-scrapbook,3
league-women-voters-amherst,1
leah-catharine-deyo-jessup-collection,5
lenox-memorial-hospital-collection,3
leo-h-bock-lynbrook-photo-collection,14
leonard-family,1
levittown-history-collection,25
levittown-public-library,19
lewis-h-brown-collection,6
liberator,13
liberty-high-school-library,15
liberty-high-school-yearbooks,25
library-association-rockland-county,32
library-association-rockland-county-haverstraw-kings-daughters-public-library,7
library-association-rockland-county-nanuet-public-library,3
library-association-rockland-county-new-city-library,9
library-association-rockland-county-palisades-free-library,1
library-association-rockland-county-pearl-river-library,7
library-association-rockland-county-piermont-public-library,1
library-association-rockland-county-suffern-free-library,7
library-association-rockland-county-tappan-library,2
library-association-rockland-county-tomkins-cove-public-library,3
library-association-rockland-county-valley-cottage-library,9
library-association-rockland-county-west-nyack-library,5
library-history,1
library-history-collection,3
lily-dale-postcards,16
lincoln-auditorium-central-high-school-programs-collection,4
lisbon-central-school-yearbooks,488
little-falls-public-library,2
liverpool-public-library,72
liverpool-yearbook-collection,140
liverpool-yearbooks-collection,2
local-history-room-map-collection,17
locust-grove-estate,6
locust-historical-collection,17
locust-valley-library,13
long-beach-bridge-construction-photographs,1
long-beach-high-school-yearbooks-1925-1977,7
long-beach-public-library,18
long-beach-public-library-collection,2
long-beach-public-schools,4
long-island-airfields,28
long-island-historic-postcard-collection,7
long-island-library-resources-council,1
long-island-manufacturers,13
long-island-maritime-museum,2
longwood-historic-photographs,8
longwood-public-library,6
longwood-scrapbooks,4
love-canal-images,96
lucy-maynard-salmon-and-adelaide-underhill-collection,1
lumber-camp-mission-slide-collection,7
lydia-sayer-hasbrouck-dress-reform-collection,2
mabel-addis-oral-history-collection,11
macedon-public-library,1
madden-collection,5
madison-county-atlases,6
madrid-waddington-central-school-yearbooks-collection,310
mag-artifacts-and-memorabilia,7
mag-events,10
mag-exhibition-views,14
mag-images,9
mag-publications,4
mag-scrapbooks,3
main-street-businesses-middleburgh-new-york,7
major-william-welch-document-collection,14
manhasset-photograph-collection,6
Manhasset-Public-Library,17
manhasset-public-library,5
manlius-library,34
margaret-hort-trudeau-sanatorium-photograph-collection,21
margaret-woodbury-strong-papers-1897-1969,4
maria-college,14
maria-college-anniversary-collection,5
maria-college-mariale-literary-magazine,1
maria-college-occupational-therapy-department-assistive-device-collection,3
maria-college-promarian-newsletter,2
maris-b-pierce-papers,12
mark-twain-collection,34
marlboro-free-library,15
marlboro-ny-history-collection,23
martha-blow-wadsworth-photograph-collection,10
marty-himes-racing-collection,9
mary-anne-thorne-chadeayne-collection,4
mary-d-burnham-papers,1
mason-malone-collection,3
massapequa-library-history-collection,15
massapequa-public-library,112
massena-central-school-yearbooks-collection,1454
masten-park-high-school-chronicle-yearbooks,77
mastics-moriches-shirley-community-library,25
materials-related-gallerys-1913-inaugural-year,6
mathias-oppersdorff-adirondack-faces-photograph-collection,10
maureen-osullivan-cushing-collection-maria-college-albany-ny,19
maurice-leyden-collection,1
maverick-festival-collection,2
max-reinhardt-collection,18
maxwell-memorial-library,20
maybrook-railroad-museum,13
maybrook-switching-terminal-collection,5
mcbride-street-campus,1
mcgraw-historical-society,17
mechanicville-district-public-library,1
mendon-public-library,20
merrick-historical-photographs,60
merrick-historical-postcards,2
merrick-library,18
merrick-veterans-collection,1
Middleburgh-Library,1
middleburgh-library,10
military-memories-veterans-voices-oral-history-collection,1
militia-enrollment-scrapbook-1888-1917,3
milton-price-and-tomlin-art-co-postcard-collection,11
miner-institute,2
miner-institute-blueprints-and-maps-collection,1
mining-collection,9
minutes-network-religious-communities-nrc-and-predecessor-organizations,20
miscellaneous-objects,16
misci-museum-innovation-and-science,162
mmscl-books-and-documents,1
mmscl-maps,2
mmscl-oral-histories,4
mmscl-vertical-files,1
moffat-library-washingtonville,46
mohawk-valley-boy-scouts-collection,14
mohawk-valley-community-college,1
mohawk-valley-community-college-yearbooks,15
montauk-library,15
montauk-maritime-collection,1
montauk-social-life-customs-and-community-organizations,2
morristown-central-school-yearbooks,112
moss-lake-camp-photograph-collection,35
mountain-top-library-digital-collection,19
murder-pamphlet-collection,7
murder-pamphlet-collection-full-text,3
museum-village,5
museum-village-artifact-collection,1
n-triple-scene,3
nancy-edwards-collection,3
nanuet-ny-history-collection,15
naples-library,1
naples-public-library-manuscripts-and-documents,1
nassau-fair,1
nathan-s-kline-institute-history-collection,7
nathan-s-kline-institute-psychiatric-research,9
national-anti-slavery-standard,3
national-freedman,21
natural-disasters-schenectady-county,10
nazareth-college,17
nazareth-college-gleaner-collection,97
nazareth-college-photograph-collection,2
nazareth-college-yearbooks-collection,38
nccc-annual-reports,16
nccc-briefs,5
nccc-commencement-ceremony-programs,2
nccc-scrapbooks,2
nccc-yearbooks,11
nehasane-park-photograph-collection,63
network-religious-communities,31
new-atlas-city-plattsburgh-ny-1916,3
new-city-library-image-collection,5
new-hartford-public-library,10
new-national-era,17
new-paltz-town-records,6
new-paltz-town-records-digital-collection,5
new-rochelle-oral-history-collection,5
new-rochelle-public-library,21
new-woodstock-free-library,2
new-york-central-college,22
new-york-central-stations-buffalo-ny-scrapbook,17
new-york-chiropractic-college-new-york-chiropractic-college-museum,1
new-york-ordnance-works-collection,46
new-york-paris-race,20
new-york-state-military-museum-and-veterans-research-center,35
new-york-state-veteran-oral-history-collection,5
new-york-state-womens-suffrage-exhibition-collection,11
newark-area-history-and-views,4
newark-public-library,4
newark-public-library-history,3
newburgh-1916-assessment-photographs,3
newburgh-free-library,95
newburgh-free-library-historic-images-and-documents,6
newburgh-glebe-documents,5
newburgh-heritage-collection,17
newburgh-historical-society,6
newburgh-municipal-records,3
newsletters-cary-institute-ecosystem-studies,15
niagara-county-community-college-henrietta-g-lewis-library,15
niagara-county-community-college-yearbooks,21
niagara-county-historical-society,15
niagara-falls-city-directories,16
niagara-university-castellani-art-museum,1
nickell-collection-dr-rv-pierce-medical-artifacts,60
nickell-snake-oil-collection,19
nikolai-nikolaevich-aleksandrov-historical-photograph-collection,1
nioga-library-system,22
nioga-library-system-lewiston-public-library,5
nioga-library-system-lockport-public-library,17
nioga-library-system-niagara-falls-public-library,29
normal-leader,5
norman-foote-surveying-photograph-collection,3
norman-l-woodford-md-papers,53
north-country-community-college-north-country-community-college-libraries,9
north-country-underground-railroad-historical-association,1
north-star,11
northern-new-york-library-network,1
northport,1
northport-east-northport-photograph-collection,11
northport-east-northport-postcard-collection,48
northport-east-northport-public-library,61
norwood-norfolk-central-school-yearbooks,350
nursing-upstate,2
ny-ontario-western-railway-photographs,38
nyack-high-school-yearbooks,22
nyack-library,36
nyack-library-local-history-collection,6
nyack-turnpike-maps-and-documents,1
nyh-topic/agriculture/privacy/field_alpha_sort/N,5
nyh-topic/agriculture/privacy,1
nyh-topic/agriculture,1
nyh-topic/education/privacy/field_alpha_sort/collection_type/diaries,1
nyh-topic/education/privacy/field_alpha_sort,2
nyh_topic/architecture,0
nyh_topic/education,0
nyh_topic/people/collection_type/yearbooks,136701
oaks-menorah-park-oral-history-collection,2
obrien-building-photo-collection,5
oceanside-high-school-yearbooks,289
oceanside-library,44
oceanside-library-history,13
oceansides-bicentennial-celebration,4
octagon-houses-collection,14
OFA central school yearbooks-collection,1
OFA-central-schoolyearbooks-collection,1
