"Council","InstitutionID","InstitutionName","CollectionAlias","Pageviews"
"Western New York Library Resources Council","WNYLRC043","Niagara County Community College - Henrietta G. Lewis Library","p16694coll90",4181
"Western New York Library Resources Council","WNYLRC045","Buffalo Public School Library System","p16694coll105",1612
"Western New York Library Resources Council","WNYLRC046","Museum of disABILITY History – A Project Of  People Inc.","p16694coll80",86
"Western New York Library Resources Council","WNYLRC048","Daemen College - Daemen College Library","p16694coll111",771
"Western New York Library Resources Council","WNYLRC049","Buffalo Broadcasters Association","p16694coll118",126
"Western New York Library Resources Council","WNYLRC050","Network of Religious Communities","p16694coll110",89
"South Central Regional Library Council","SCLRC001","Alfred University - Herrick Library","p261501coll7",68
"South Central Regional Library Council","SCLRC002","Binghamton University - Binghamton University Libraries","p16694coll69",82
"South Central Regional Library Council","SCLRC003","Broome County Public Library","p261501coll8",22
"South Central Regional Library Council","SCLRC005","SUNY Corning Community College - Arthur A. Houghton, Jr. Library","p16694coll23",44
"South Central Regional Library Council","SCLRC006","Cortland County Historical Society","VX4",1376
"South Central Regional Library Council","SCLRC007","Delaware County Historical Association","p16694coll7",189
"South Central Regional Library Council","SCLRC008","Elmira College - Gannett-Tripp Library","p261501co1l12",336
"South Central Regional Library Council","SCLRC009","George F Johnson Memorial Library","p16694coll22",130
"South Central Regional Library Council","SCLRC010","Greater Oneonta Historical Society","p16694coll27",28
"South Central Regional Library Council","SCLRC011","Hartwick College - Stevens-German Library","p16694coll36",131
"South Central Regional Library Council","SCLRC012","History Center in Tompkins County","p15085coll6",936
"South Central Regional Library Council","SCLRC013","Huntington Memorial Library","p16694coll70",5
"South Central Regional Library Council","SCLRC014","Hyde Hall","p16694coll66",10
"South Central Regional Library Council","SCLRC015","International Motor Racing Research Center","p16694coll3",4
"South Central Regional Library Council","SCLRC016","Ithaca College Library","p4020coll5",203
"South Central Regional Library Council","SCLRC017","Keuka College - Lightner Library","p16694coll76",16
"South Central Regional Library Council","SCLRC018","McGraw Historical Society","NYMHG",517
"South Central Regional Library Council","SCLRC020","Fenimore Art Museum","p16694coll8",238
"South Central Regional Library Council","SCLRC021","New York Chiropractic College - New York Chiropractic College Museum","p16694coll37",13
"South Central Regional Library Council","SCLRC022","Oxford Memorial Library","p16694coll28",29
"South Central Regional Library Council","SCLRC023","Corning Museum of Glass - Juliette K. and Leonard S. Rakow Research Library","p16694coll4",235
"South Central Regional Library Council","SCLRC025","Steele Memorial Library","p15085coll7",2133
"South Central Regional Library Council","SCLRC026","State University of New York,Oneonta - James M. Milne Library","ZBM",192
"South Central Regional Library Council","SCLRC027","Wells College - Louis Jefferson Long Library","p15085coll2",140
"South Central Regional Library Council","SCRLC028","South Central Regional Library Council","p16694coll52",258
"South Central Regional Library Council","SCRLC029","Historic Ithaca","p16694coll102",30
"South Central Regional Library Council","SCRLC030","Houghton College - Willard J. Houghton Library","p16694coll91",159
"South Central Regional Library Council","SCRLC031","Seneca Falls Historical Society","p16694coll96",439
"South Central Regional Library Council","SCRLC032","Edith B. Ford Memorial Library","p16694coll112",128
"South Central Regional Library Council","SCRLC033","Big Flats Historical Society and Museum","p16694coll120",85
"South Central Regional Library Council","SCRLC034","Chemung County Historical Society","p16694coll129",15
"Southeastern New York Library Resources Council","SENYLRC001","Vassar College - Archives & Special Collections Library","vassar",130
"Southeastern New York Library Resources Council","SENYLRC002","Friends of Historic Kingston","fhk",1127
"Southeastern New York Library Resources Council","SENYLRC003","Palisades Interstate Park Commission","pipc",998
"Southeastern New York Library Resources Council","SENYLRC004","Historic Red Hook","hrh",1185
"Southeastern New York Library Resources Council","SENYLRC005","Hudson River Maritime Museum","hrmm",1199
"Southeastern New York Library Resources Council","SENYLRC006","Newburgh Free Library","newburgh",3143
"Southeastern New York Library Resources Council","SENYLRC007","Hudson Area Library","haal",229
"Southeastern New York Library Resources Council","SENYLRC008","Vassar Brothers Medical Center - Archives","vbmc",346
"Southeastern New York Library Resources Council","SENYLRC009","Greenwood Lake Public Library","ngrl",1238
"Southeastern New York Library Resources Council","SENYLRC010","Cary Institute of Ecosystem Studies","cies",344
"Southeastern New York Library Resources Council","SENYLRC011","Goshen Public Library & Historical Society","gplhs",389
"Southeastern New York Library Resources Council","SENYLRC012","Elting Memorial Library - Haviland-Heidgerd Historical Collection","elting",729
"Southeastern New York Library Resources Council","SENYLRC013","Newburgh Heritage Collection","nhc",920
"Southeastern New York Library Resources Council","SENYLRC014","Ellenville Public Library & Museum","eplm",768
"Southeastern New York Library Resources Council","SENYLRC015","Scarsdale Public Library","scpl",767
"Southeastern New York Library Resources Council","SENYLRC016","Cornwall Public Library","cornpl",507
"Southeastern New York Library Resources Council","SENYLRC017","Woodstock Public Library District","nwkpld",44
"Southeastern New York Library Resources Council","SENYLRC018","Wilderstein Historic Site","wilderstein",58
"Southeastern New York Library Resources Council","SENYLRC019","SUNY New Paltz - Sojourner Truth Library","sunynp",3918
"Southeastern New York Library Resources Council","SENYLRC021","Library Association of Rockland County - Haverstraw King's Daughters Public Library","larc",4261
"Southeastern New York Library Resources Council","SENYLRC021","Library Association of Rockland County - Haverstraw King's Daughters Public Library","NYRCK001",0
"Southeastern New York Library Resources Council","SENYLRC022","Library Association of Rockland County - Nanuet Public Library","larc",4261
"Southeastern New York Library Resources Council","SENYLRC023","Library Association of Rockland County - New City Library","larc",4261
"Southeastern New York Library Resources Council","SENYLRC024","Library Association of Rockland County - Palisades Free Library","larc",4261
"Southeastern New York Library Resources Council","SENYLRC025","Library Association of Rockland County - Pearl River Library","larc",4261
"Southeastern New York Library Resources Council","SENYLRC026","Library Association of Rockland County - Piermont Public Library","larc",4261
"Southeastern New York Library Resources Council","SENYLRC027","Library Association of Rockland County - Suffern Free Library","larc",4261
"Southeastern New York Library Resources Council","SENYLRC028","Library Association of Rockland County - Tappan Library","larc",4261
"Southeastern New York Library Resources Council","SENYLRC029","Library Association of Rockland County - Tomkins Cove Public Library","larc",4261
"Southeastern New York Library Resources Council","SENYLRC030","Library Association of Rockland County - Valley Cottage Library","larc",4261
"Southeastern New York Library Resources Council","SENYLRC031","Library Association of Rockland County - West Nyack Library","larc",4261
"Southeastern New York Library Resources Council","SENYLRC032","New Rochelle Public Library","nrpl",2007
"Southeastern New York Library Resources Council","SENYLRC033","Liberty High School Library","libertyhs",5603
"Southeastern New York Library Resources Council","SENYLRC034","Museum Village","mv",77
"Southeastern New York Library Resources Council","SENYLRC035","Chester Historical Society","chs",1382
"Southeastern New York Library Resources Council","SENYLRC036","Chatham Public Library","cpl",376
"Southeastern New York Library Resources Council","SENYLRC037","Hudson River Valley Institute","hrvi",731
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","bard",1459
"Southeastern New York Library Resources Council","SENYLRC040","Historic Huguenot Street","hhs",2808
