# ----------------------------------------
# All Web Site Data
# ContentDM Statistics with Chuck
# 20200401-20200430
# ----------------------------------------

ContentDM Collections Stats (Content Group),Pageviews
quitman,7
nfl,6
p128401coll5,6
xfr,6
p16694coll70,5
bc,4
cazcoll01,4
cdlc,4
libertyhs!larc!locustgrove!marlboro!mrhs!mfl!mlw!mv!norbn!newburgh!nhc!nptr!nrpl!nyacklib!occc!orangetown!pipc!phs!pchs!pchc!rcich!rhs!rvha!spl!scpl!senatehouse!shs!ssphv!srl!sunynp!tvm!twvmhs!tps!tpl!uccc!uchs!vbmc!vassar!wilderstein!nwkpld,4
p15281coll36,4
p16124coll8,4
p16694coll3,4
ykh,4
mdpl,3
p16694coll77,3
p16694coll95,3
srr_skanlib,3
bard!chs!cchs!quitman!dcc!dchs!eplm!fdr!gcla!elting!hhs!howpubl!haal!hvri!larc!locustgrove!marlboro!mrhs!mfl!newburgh!nyacklib!occc!orangetown!pahs!phs!senatehouse!shs!srl!sunynp!hsrc!tps!tpl!uccc!vbmc!vassar!wilderstein!wbg!wp,2
cgc,2
holytrin01,2
id,2
locustgrove!marlboro!mrhs!mfl!mlw!mv!norbn!newburgh!nhc!nptr!nrpl!nyacklib!occc!orangetown!pipc!phs!pchs!pchc!rhs!rvha!spl!scpl!senatehouse!shs!ssphv!srl!sunynp!tvm!twvmhs!tps!tpl!uccc!uchs!vbmc!vassar!wilderstein!nwkpld,2
m21arlboro,2
p128401coll7,2
p15052coll4,2
p15052coll6,2
p16694coll35,2
p16694coll55,2
ssphv,2
bc_sh,1
dchs,1
hrvi!hvvacc!ipl!libertyhs!larc!locustgrove!marlboro!mrhs!mfl!mlw!mv!norbn!newburgh!nhc!nptr!nrpl!nyacklib!occc!orangetown!pipc!phs!pchs!pchc!rhs!rvha!spl!scpl!senatehouse!shs!ssphv!srl!sunynp!tvm!twvmhs!tps!tpl!uccc!uchs!vbmc!vassar!wilderstein!nwkpld,1
p16124coll7,1
p16694coll117,1
p16694coll30,1
townofhen,1
