adkhistory,186
afl,14
aiha,63
als,6
astorcol,2
bard,515
bc_sh,2
bpl,284
bpl_fsc,52
BSM001,1733
BUF005,24
BUF006,38
cazcoll01,1
cchs,69
cgc,2
cgcmh,68
ChesterWarren,2
chs,622
cia,685
cies,31
clarkson,9487
cornpl,719
cphpl,571
cpl,248
crandall,655
dcc,52
dudleyo,58
elting,485
eplm,336
fayfre01,214
fdr,402
fhk,536
fmcc,65
fpfl,50
gcla,723
gpl,881
gplhs,316
grn,1
Grolier01,227
gwpl,15
haal,71
hhs,1363
holytrin01,42
hrh,640
hrmm,499
hrvi,609
hsrc,2361
hsw,46
hvcc,43
hvvacc,51
id,4
ipl,592
jcclibrary,2604
JSY,1233
keenev,61
larc,3037
lc,30
libertyhs,3243
livpub01,6430
locustgrove,218
maria,366
marlboro,163
mbl,410
MC_metro,8
mdpl,26
mfl,2
miner,27
mlw,43
mrhs,248
mv!norbn!newburgh!nhc!nptr!nrpl!nyacklib!occc!orangetown!pipc!phs!pchs!pchc!rhs!rvha!spl!scpl!senatehouse!shs!ssphv!srl!sunynp!tvm!twvmhs!tps!tpl!uccc!uchs!vbmc!vassar!wilderstein!nwkpld,4
mv,47
newburgh,3678
ngrl,377
nhc,409
nnyg,181
nor,41
norbn,47
nptr,109
nrpl,1039
nwkpld,80
nyacklib,4406
NYBFL,246
NYCCH,159
NYCSN,119
NYHSR01,1263
NYMHG,248
NYNCH,9
nyrud,761
nysmm,913
occc,34
ogdensburg,3
orangetown,16
p128401coll4,36
p128401coll5,4
p128401coll7,11
p15004coll9,981
p15052coll1,172
p15052coll2,21
p15052coll3,7
p15052coll4,2
p15052coll5,512
p15052coll6,10
p15085coll1,15
p15085coll2,90
p15085coll6,368
p15085coll7,685
p15109coll1,3
p15109coll11,376
p15109coll4,30
p15109coll6,1008
p15109coll7,946
p15281coll1,13
p15281coll10,649
p15281coll104,309
p15281coll12,8126
p15281coll154,62
p15281coll19,654
p15281coll2,5495
p15281coll20,311
p15281coll25,204
p15281coll27,307
p15281coll33,1064
p15281coll34,1
p15281coll35,58
